fish	fem_cm	male_cm	fem_n	male_n
Danio_rerio	2582.7	942.5	274	141
Menidia_menidia	4339.5	1579	19262.5	19741
Menidia_menidia2	3482.417	1511.235	18234	19662
Menidia_menidia3	3659.107333	1579.151	19740.33333	19741
Menidia_menidia4	3553	1511	18285	19662
Oncorhynchus_tshawytscha	3119.77	870.11	14620	1975
Anoplopoma_fimbria	1610	860.4	297	312
Takifugu_rubripes	2189.8	1202.8	1000	1057
Oncorhynchus_mykiss	4317.6	2564.1	1125	1125
Sparus_aurata	2172.1	1349.2	321	321
Oncorhynchus_kisutch	6596.73	4141.76	2043	2043
Salvelinus_alpinus_alpinus	4302.7	2808.5	1709	1538
Oncorhynchus_nerka	4082	2291	6322	2179
Hypophthalmichthys_molitrix	1587.5	1063.5	370	415
Ictalurus_punctatus	4495.1	2593.7	18444	15148
Pungitius_pungitius	2335.72	1584.26	20054	20054
Salmo_salar	2402.3	1746.2	5918	5918
Larimichthys_crocea	2959.1	2205.7	188	161
Salvelinus_fontinalis	2502.5	1863.8	1990	1990
Dicentrarchus_labrax	1380	1046.9	368	368
Salvelinus_namaycush	2842.22	2043.41	15640	15640
Hypophthalmichthys_nobilis	2169.74	1653.53	1915	1836
Lateolabrax_japonicus	1929.9	1433.61	3903	3213
Pelteobagrus_ussuriensis	2566.29	2084.52	3914	4411
Chrysophrys_major	769.3	626	148	197
Scophthalmus_maximus	3228.4	2631.9	3480	3425.6
Scatophagus_argus	2290.56	1880.23	3512	3627
Epinephelus_aeneus	1053	886	203	202
Misgurnus_anguillicaudatus	784.5	662.2	153	119
Sciaenops_ocellatus	1270.9	1122.9	226	201
Megalobrama_amblycephala	2390.06	2109.82	9531	9847
Scleropages_formosus	2301.8	2097.4	308	308
Epinephelus_bruneus	1249.8	1140.3	509	512
Coregonus_lavaretus	2460.1	2263.05	1221	1054
Lepomis_macrochirus	1628.2	1525.3	176	177
Lutjanus_campechanus	1449.83	1332.42	7420	7420
Seriola_lalandi	1197	1136	1197	1136
Carassius_auratus	3500.42	3346.33	4410	4625
Epinephelus_coioides	1370.9	1335.5	2516	2939
Polyprion_oxygeneios	1168	1132	819	878
Lates_calcarifer	2016.92	1955.9	4771	5204
Notothenia_coriiceps	1136	1100.9	4626	4800
Paramisgurnus_dabryanus	4669.31	4530.2	8693	9084
Seriola_quinqueradiata	1054.5	1054	799	780
Gasterosteus_aculeatus	1190	1190	1872	1872
Labeo_rohita	1384	1393.5	3008	3071
Sebastes_schlegelii	1334.1	1359.6	140	156
Cynoglossus_semilaevis	1447.3	1497.5	828	794
Xiphophorus_maculatus	1506.8	1567.3	290	290
Paralichthys_olivaceus	1663.8	1726.5	1257	1224
Oreochromis_mossambicus	1051.3	1104.3	299	351
Hippoglossus_hippoglossus	1459.6	1562.2	364	417
Trachinotus_blochii	2559.12	2827.48	4562	5919
Chrysophrys_auratus	1359	1401.5	10716	10716
Nibea_albiflora	2660.82	2830.52	4361	4209
Channa_argus_argus	2443.8	2695.5	1370	1410
Paralichthys_lethostigma	1357.69	1502.68	1195	1265.5
Hucho_taimen	4309.87	4218.73	30535	30535
Ctenopharyngodon_idella	5680.51	6301.59	3742	3875
Clupea_harengus	1430	1614.8	620	620
Morone_saxatilis	1581	1834.1	287	287
Cyprinus_carpio	7586.51	8094.31	14785	13910
Siniperca_chuatsi	1576.2	2115.57	1505	2215
Poecilia_reticulata	1267.7	1771.2	135	172
Coregonus_artedi	2456.51	2357.97	20292	6340
