fish	common	female	male	femaleN	maleN	avg	malecm	femcm	resid_avg
Anoplopoma_fimbria	Sablefish	1610	860.4	297	312	1235.2	-0.245480348	-0.033819665	-0.139650007
Carassius_auratus	Goldfish	3500.42	3346.33	4410	4625	3423.375	0.277838998	0.232361193	0.255100096
Channa_argus_argus	Northern snakehead	2443.8	2695.5	1370	1410	2569.65	0.233516592	0.12886804	0.181192316
Chrysophrys_auratus	Squirefish	1359	1401.5	10716	10716	1380.25	-0.194119992	-0.287569715	-0.240844854
Chrysophrys_major	Red seabream	769.3	626	148	197	697.65	-0.381831982	-0.351973611	-0.366902797
Clupea_harengus	Atlantic herring	1430	1614.8	620	620	1522.4	0.023185592	-0.090894146	-0.033854277
Coregonus_artedi	Cisco	2456.51	2357.97	20292	6340	2407.24	0.099346283	-0.196038867	-0.048346292
Coregonus_lavaretus	Common whitefish	2460.1	2263.05	1221	1054	2361.575	0.163064438	0.134331338	0.148697888
Ctenopharyngodon_idella	Grass carp	5680.51	6301.59	3742	3875	5991.05	0.564292775	0.454178029	0.509235402
Cynoglossus_semilaevis	Tongue sole	1447.3	1497.5	828	794	1472.4	-0.012251115	-0.089267924	-0.05075952
Cyprinus_carpio	Common carp	7586.51	8094.31	14785	13910	7840.41	0.518183742	0.388900196	0.453541969
Danio_rerio	Zebrafish	2582.7	942.5	274	141	1762.6	-0.203260884	0.17182609	-0.015717397
Dicentrarchus_labrax	European seabass	1380	1046.9	368	368	1213.45	-0.161139623	-0.101994038	-0.131566831
Epinephelus_aeneus	White grouper	1053	886	203	202	969.5	-0.231049742	-0.216591918	-0.22382083
Epinephelus_bruneus	Longtooth grouper	1249.8	1140.3	509	512	1195.05	-0.126247599	-0.147470483	-0.136859041
Epinephelus_coioides	Orange-spotted grouper	1370.9	1335.5	2516	2939	1353.2	-0.09507112	-0.142006087	-0.118538604
Gasterosteus_aculeatus	Three-spined stickleback	1190	1190	1872	1872	1190	-0.128704382	-0.192330197	-0.16051729
Hippoglossus_hippoglossus	Atlantic halibut	1459.6	1562.2	364	417	1510.9	0.011935748	-0.077570111	-0.032817182
Hucho_taimen	Taimen	4309.87	4218.73	30535	30535	4264.3	-0.021335911	-0.128993839	-0.075164875
Hypophthalmichthys_molitrix	Silver carp	1587.5	1063.5	370	415	1325.5	-0.155032532	-0.041193971	-0.098113252
Hypophthalmichthys_nobilis	Bighead carp	2169.74	1653.53	1915	1836	1911.635	0.01471621	0.067787071	0.041251641
Ictalurus_punctatus	Channel catfish	4495.1	2593.7	18444	15148	3544.4	0.004821474	0.098333718	0.051577596
Labeo_rohita	Rohu	1384	1393.5	3008	3071	1388.75	-0.078644782	-0.146382412	-0.112513597
Larimichthys_crocea	Large yellow croaker	2959.1	2205.7	188	161	2582.4	0.165695603	0.232398702	0.199047153
Lateolabrax_japonicus	Japanese sea bass	1929.9	1433.61	3903	3213	1681.755	-0.068511774	-0.01745817	-0.042984972
Lates_calcarifer	Barramundi perch	2016.92	1955.9	4771	5204	1986.41	0.035682984	-0.013311951	0.011185517
Lepomis_macrochirus	Bluegill	1628.2	1525.3	176	177	1576.75	0.005257553	-0.026845711	-0.010794079
Lutjanus_campechanus	Northern red snapper	1449.83	1332.42	7420	7420	1391.125	-0.165215107	-0.202484528	-0.183849818
Megalobrama_amblycephala	Wuchang bream	2390.06	2109.82	9531	9847	2249.94	-0.003059134	-0.021891818	-0.012475476
Menidia_menidia	Atlantic silverside	3482.417	1511.235	18234	19662	2496.826	-0.264144816	-0.007296497	-0.135720657
Misgurnus_anguillicaudatus	Oriental weatherfish	784.5	662.2	153	119	723.35	-0.356213609	-0.343562845	-0.349888227
Morone_saxatilis	Striped sea-bass	1581	1834.1	287	287	1707.55	0.083628008	-0.041540772	0.021043618
Nibea_albiflora	White flower croaker	2660.82	2830.52	4361	4209	2745.67	0.211555283	0.114103738	0.162829511
Notothenia_coriiceps	Black rockcod	1136	1100.9	4626	4800	1118.45	-0.207682125	-0.260115254	-0.23389869
Oncorhynchus_kisutch	Coho salmon	6596.73	4141.76	2043	2043	5369.245	0.410295079	0.548494975	0.479395027
Oncorhynchus_mykiss	Rainbow trout	4317.6	2564.1	1125	1125	3440.85	0.216209726	0.380280814	0.29824527
Oncorhynchus_nerka	Sockeye salmon	4082	2291	6322	2179	3186.5	0.151036776	0.266055718	0.208546247
Oncorhynchus_tshawytscha	Chinook salmon	3119.77	870.11	14620	1975	1994.94	-0.26626646	0.005833575	-0.130216443
Oreochromis_mossambicus	Mozambique tilapia	1051.3	1104.3	299	351	1077.8	-0.137695442	-0.218953456	-0.178324449
