population	type	chromosome	region	rate	newreg
F1	co-linear	2	Terminal	2.91	CollTerm
F1	co-linear	2	Terminal	3.27	CollTerm
F1	co-linear	2	Terminal	3.48	CollTerm
F1	co-linear	2	Terminal	3.51	CollTerm
F1	co-linear	2	Terminal	3.52	CollTerm
F1	co-linear	2	Terminal	3.99	CollTerm
F1	co-linear	2	Terminal	4.02	CollTerm
F1	co-linear	2	Terminal	4.21	CollTerm
F1	co-linear	2	Terminal	4.31	CollTerm
F1	co-linear	2	Terminal	5.07	CollTerm
F1	co-linear	2	Terminal	5.19	CollTerm
F1	co-linear	2	Terminal	5.25	CollTerm
F1	co-linear	2	Terminal	5.28	CollTerm
F1	co-linear	2	Terminal	5.5	CollTerm
F1	co-linear	2	Terminal	5.59	CollTerm
F1	co-linear	2	Terminal	6.02	CollTerm
F1	co-linear	2	Terminal	5.77	CollTerm
F1	co-linear	2	Terminal	5.73	CollTerm
F1	co-linear	2	Co-linear	5.58	Co-linear
F1	co-linear	2	Co-linear	5.33	Co-linear
F1	co-linear	2	Co-linear	5.28	Co-linear
F1	co-linear	2	Co-linear	4.78	Co-linear
F1	co-linear	2	Co-linear	4.39	Co-linear
F1	co-linear	2	Co-linear	4.37	Co-linear
F1	co-linear	2	Co-linear	4.34	Co-linear
F1	co-linear	2	Co-linear	4.31	Co-linear
F1	co-linear	2	Co-linear	4.85	Co-linear
F1	co-linear	2	Co-linear	4.9	Co-linear
F1	co-linear	2	Co-linear	5	Co-linear
F1	co-linear	2	Co-linear	4.97	Co-linear
F1	co-linear	2	Co-linear	4.9	Co-linear
F1	co-linear	2	Co-linear	4.87	Co-linear
F1	co-linear	2	Co-linear	4.78	Co-linear
F1	co-linear	2	Co-linear	4.71	Co-linear
F1	co-linear	2	Co-linear	4.71	Co-linear
F1	co-linear	2	Co-linear	4.65	Co-linear
F1	co-linear	2	Co-linear	4.6	Co-linear
F1	co-linear	2	Co-linear	4.61	Co-linear
F1	co-linear	2	Co-linear	4.62	Co-linear
F1	co-linear	2	Co-linear	4.65	Co-linear
F1	co-linear	2	Co-linear	4.7	Co-linear
F1	co-linear	2	Co-linear	4.97	Co-linear
F1	co-linear	2	Co-linear	5.11	Co-linear
F1	co-linear	2	Co-linear	5.32	Co-linear
F1	co-linear	2	Co-linear	5.4	Co-linear
F1	co-linear	2	Co-linear	5.4	Co-linear
F1	co-linear	2	Co-linear	5.66	Co-linear
F1	co-linear	2	Co-linear	6.52	Co-linear
F1	co-linear	2	Co-linear	6.57	Co-linear
F1	co-linear	2	Co-linear	6.71	Co-linear
F1	co-linear	2	Co-linear	6.98	Co-linear
F1	co-linear	2	Co-linear	6.98	Co-linear
F1	co-linear	2	Co-linear	7.03	Co-linear
F1	co-linear	2	Co-linear	7.25	Co-linear
F1	co-linear	2	Co-linear	7.27	Co-linear
F1	co-linear	2	Co-linear	7.31	Co-linear
F1	co-linear	2	Co-linear	7.32	Co-linear
F1	co-linear	2	Co-linear	7.45	Co-linear
F1	co-linear	2	Co-linear	7.77	Co-linear
F1	co-linear	2	Co-linear	7.87	Co-linear
F1	co-linear	2	Co-linear	8.36	Co-linear
F1	co-linear	2	Co-linear	8.54	Co-linear
F1	co-linear	2	Co-linear	8.54	Co-linear
F1	co-linear	2	Co-linear	8.79	Co-linear
F1	co-linear	2	Co-linear	8.84	Co-linear
F1	co-linear	2	Co-linear	8.92	Co-linear
F1	co-linear	2	Co-linear	8.94	Co-linear
F1	co-linear	2	Co-linear	9.07	Co-linear
F1	co-linear	2	Co-linear	9.08	Co-linear
F1	co-linear	2	Co-linear	9.13	Co-linear
F1	co-linear	2	Co-linear	9.21	Co-linear
F1	co-linear	2	Co-linear	9.47	Co-linear
F1	co-linear	2	Co-linear	9.48	Co-linear
F1	co-linear	2	Co-linear	9.5	Co-linear
F1	co-linear	2	Co-linear	9.57	Co-linear
F1	co-linear	2	Co-linear	9.63	Co-linear
F1	co-linear	2	Co-linear	9.68	Co-linear
F1	co-linear	2	Co-linear	9.68	Co-linear
F1	co-linear	2	Co-linear	9.68	Co-linear
F1	co-linear	2	Co-linear	9.64	Co-linear
F1	co-linear	2	Co-linear	9.62	Co-linear
