set map index_minR2_left telo_left index_minR2_right telo_right
F1 1 NA NA NA NA
F1 2 NA NA NA NA
F1 3 NA NA NA NA
F1 4 NA NA NA NA
F1 5 NA NA 601 22.209329
F1 6 NA NA NA NA
F1 7 NA NA NA NA
F1 8 NA NA NA NA
F1 9 NA NA NA NA
F1 10 NA NA NA NA
F1 11 NA NA NA NA
F1 12 NA NA 340 14.897468
F1 13 NA NA NA NA
F1 14 NA NA NA NA
F1 15 NA NA 432 16.770559
F1 16 NA NA NA NA
F1 17 NA NA NA NA
F1 18 NA NA NA NA
F1 19 NA NA NA NA
F1 20 NA NA NA NA
F1 21 NA NA NA NA
F1 22 NA NA NA NA
F1 23 NA NA NA NA
F1 24 NA NA NA NA
GA 1 NA NA NA NA
GA 2 NA NA NA NA
GA 3 NA NA NA NA
GA 4 NA NA NA NA
GA 5 NA NA 580 22.250173
GA 6 NA NA NA NA
GA 7 NA NA NA NA
GA 8 NA NA NA NA
GA 9 NA NA NA NA
GA 10 NA NA NA NA
GA 11 NA NA NA NA
GA 12 NA NA NA NA
GA 13 NA NA NA NA
GA 14 NA NA NA NA
GA 15 NA NA 461 16.91109
GA 16 NA NA NA NA
GA 17 NA NA NA NA
GA 18 11 0.467297 206 12.143753
GA 19 NA NA NA NA
GA 20 NA NA NA NA
GA 21 NA NA NA NA
GA 22 NA NA NA NA
GA 23 NA NA NA NA
GA 24 NA NA NA NA
NY 1 NA NA NA NA
NY 2 NA NA NA NA
NY 3 NA NA NA NA
NY 4 NA NA NA NA
NY 5 NA NA 610 22.235206
NY 6 NA NA NA NA
NY 7 6 0.161865 584 19.297323
NY 8 NA NA NA NA
NY 9 NA NA NA NA
NY 10 NA NA NA NA
NY 11 12 0.317077 561 18.012215
NY 12 NA NA 451 17.482042
NY 13 NA NA NA NA
NY 14 NA NA NA NA
NY 15 NA NA NA NA
NY 16 NA NA NA NA
NY 17 NA NA NA NA
NY 18 NA NA NA NA
NY 19 NA NA NA NA
NY 20 NA NA NA NA
NY 21 NA NA NA NA
NY 22 NA NA NA NA
NY 23 NA NA NA NA
NY 24 NA NA NA NA
