chr	map	inv_start	inv_end
10	AB	21.6500435	22.331554
20	AB	0.594096	4.985613
1	ALL	1.611504	2.0079505
5	ALL	21.718035	23.17168
10	ALL	1.389107	2.278742
12	ALL	0.4495455	1.8058395
11	F1	3.846619	12.474488
18	F1	8.4194325	10.2
19	GA	4.204598	14.7044405
19	GA1	0.882808	2.9446765
6	GAF1	1.736437	14.6441615
4	NY	12.7324915	14.721253
7	NY 	11.8182775	13.5673975
8	NY	3.0232325	15.504185
18	NY	0.8953985	1.51447
18	NY2	1.51447	4.2273225
18	NY	4.2273225	8.4194325
19	NY	2.9153755	4.2228375
24	NY	4.148046	13.451872
7	NYF1	0	0.1646305
