set map mb cm regFn regDr
F1 1 0.000956999999999986 0 -5.86951666440631 9.44
F1 1 0.107485 1.376 -3.30334966010134 10.52
F1 1 0.13393 1.376 -2.6743808781702 10.79
F1 1 0.199249 1.376 -1.13348603569774 11.43
F1 1 0.333831 2.744 1.99017205404012 12.73
F1 1 0.335853 2.29 2.03662897666406 12.75
F1 1 0.380076 2.744 3.04951793214254 13.17
F1 1 0.511184 4.567 6.02060422006468 14.38
F1 1 0.518058 5.021 6.17517729823894 14.44
F1 1 0.521049 5.021 6.24237274946413 14.47
F1 1 0.531867 4.567 6.48509424934501 14.57
F1 1 0.533403 4.567 6.51951724179034 14.58
F1 1 0.706679 7.298 10.3385377404104 16.13
F1 1 0.801352 9.129 12.3708049107001 16.94
F1 1 0.836747 10.042 13.1206286444338 17.23
F1 1 0.907628 11.41 14.6057679558425 17.83
F1 1 0.910835 11.41 14.6724496473079 17.86
F1 1 0.944004 11.864 15.3602699669521 18.13
F1 1 0.995693 12.319 16.4249791161488 18.56
F1 1 1.147483 19.733 19.4928636392402 19.8
F1 1 1.268693 22.022 21.8674879087052 19.31
F1 1 1.268696 22.477 21.8675457420285 19.31
F1 1 1.29562 22.477 22.3845845899171 19.19
F1 1 1.367993 24.308 23.7538103547082 18.86
F1 1 1.367996 24.308 23.7538664648137 18.86
F1 1 1.394982 24.308 24.2601602007195 18.73
F1 1 1.424334 25.217 24.8113388696094 18.6
F1 1 1.444721 24.762 25.1919218947971 18.51
F1 1 1.460037 23.853 25.4754599841066 18.44
F1 1 1.462051 25.217 25.5125491491372 18.43
F1 1 1.477765 25.671 25.8000738443924 18.37
F1 1 1.492597 24.308 26.0698567576553 18.31
F1 1 1.615241 26.584 28.2926698098258 17.84
F1 1 1.655874 27.498 29.0184704134486 17.67
F1 1 1.719153 30.268 30.1287939198041 17.39
F1 1 1.746048 29.813 30.5913227593446 17.26
F1 1 1.761195 29.813 30.848925248657 17.18
F1 1 1.768961 29.813 30.9801367837963 17.14
F1 1 1.788735 29.813 31.3114410175905 17.03
F1 1 1.804449 29.813 31.5734123486989 16.94
F1 1 1.969126 33.968 34.3333247038281 15.96
F1 1 1.972792 33.968 34.3945169581531 15.94
