set	map	mkr	phys	gen
PAxJI_femF2	Mme_chr01	46687	17782992	109.502
PAxJI_femF2	Mme_chr01	46681	17870861	107.658
PAxJI_femF2	Mme_chr01	46692	17690019	107.204
PAxJI_femF2	Mme_chr01	46693	17624772	107.204
PAxJI_femF2	Mme_chr01	46707	17360699	104.888
PAxJI_femF2	Mme_chr01	46716	17254830	103.045
PAxJI_femF2	Mme_chr01	46721	17178374	102.132
PAxJI_femF2	Mme_chr01	46726	17070489	100.288
PAxJI_femF2	Mme_chr01	46733	16964258	98.444
PAxJI_femF2	Mme_chr01	46734	16960948	97.99
PAxJI_femF2	Mme_chr01	46744	16873584	97.077
PAxJI_femF2	Mme_chr01	46754	16821880	96.622
PAxJI_femF2	Mme_chr01	46750	16857372	96.168
PAxJI_femF2	Mme_chr01	46776	16614426	88.162
PAxJI_femF2	Mme_chr01	46778	16603115	87.708
PAxJI_femF2	Mme_chr01	46780	16582004	86.794
PAxJI_femF2	Mme_chr01	46790	16503794	85.881
PAxJI_femF2	Mme_chr01	46789	16503874	85.426
PAxJI_femF2	Mme_chr01	46801	16443551	84.972
PAxJI_femF2	Mme_chr01	46813	16293909	84.972
PAxJI_femF2	Mme_chr01	46792	16479297	84.517
PAxJI_femF2	Mme_chr01	46796	16473323	84.517
PAxJI_femF2	Mme_chr01	46799	16452036	84.517
PAxJI_femF2	Mme_chr01	46800	16447546	84.517
PAxJI_femF2	Mme_chr01	46808	16411830	84.517
PAxJI_femF2	Mme_chr01	46809	16411564	84.517
PAxJI_femF2	Mme_chr01	46818	16256550	82.674
PAxJI_femF2	Mme_chr01	46821	16238174	82.219
PAxJI_femF2	Mme_chr01	46823	16216009	82.219
PAxJI_femF2	Mme_chr01	46825	16178916	80.376
PAxJI_femF2	Mme_chr01	46844	16125734	79.921
PAxJI_femF2	Mme_chr01	46845	16124220	79.921
PAxJI_femF2	Mme_chr01	46847	16111640	79.921
PAxJI_femF2	Mme_chr01	46848	16110622	79.921
PAxJI_femF2	Mme_chr01	46849	16083186	79.921
PAxJI_femF2	Mme_chr01	46852	16067378	79.921
PAxJI_femF2	Mme_chr01	46855	16045943	79.921
PAxJI_femF2	Mme_chr01	46837	16152764	79.467
PAxJI_femF2	Mme_chr01	46860	16000909	79.012
PAxJI_femF2	Mme_chr01	46867	15940090	77.636
PAxJI_femF2	Mme_chr01	46875	15899079	76.26
PAxJI_femF2	Mme_chr01	46874	15902700	75.805
PAxJI_femF2	Mme_chr01	46876	15899015	75.805
PAxJI_femF2	Mme_chr01	46877	15887030	75.351
PAxJI_femF2	Mme_chr01	46885	15857062	74.896
PAxJI_femF2	Mme_chr01	46887	15854076	74.896
PAxJI_femF2	Mme_chr01	46888	15847778	74.896
PAxJI_femF2	Mme_chr01	46889	15829609	74.441
PAxJI_femF2	Mme_chr01	46891	15797642	73.528
PAxJI_femF2	Mme_chr01	46895	15793928	73.528
PAxJI_femF2	Mme_chr01	46904	15736539	72.615
PAxJI_femF2	Mme_chr01	46905	15733498	72.615
PAxJI_femF2	Mme_chr01	46908	15709352	70.771
PAxJI_femF2	Mme_chr01	46911	15678555	69.858
PAxJI_femF2	Mme_chr01	46915	15651234	68.945
PAxJI_femF2	Mme_chr01	46917	15647696	68.945
PAxJI_femF2	Mme_chr01	46919	15597940	68.945
PAxJI_femF2	Mme_chr01	46920	15597832	68.945
PAxJI_femF2	Mme_chr01	46921	15596265	68.945
PAxJI_femF2	Mme_chr01	46925	15559134	68.49
PAxJI_femF2	Mme_chr01	46929	15545369	68.49
PAxJI_femF2	Mme_chr01	46930	15544613	68.49
PAxJI_femF2	Mme_chr01	46934	15485108	67.123
PAxJI_femF2	Mme_chr01	46937	15482183	66.668
PAxJI_femF2	Mme_chr01	46938	15479921	66.668
PAxJI_femF2	Mme_chr01	46940	15475457	66.668
PAxJI_femF2	Mme_chr01	46944	15461433	66.213
PAxJI_femF2	Mme_chr01	46947	15446130	65.3
PAxJI_femF2	Mme_chr01	46953	15358711	64.846
PAxJI_femF2	Mme_chr01	46967	15064713	62.054
PAxJI_femF2	Mme_chr01	46961	15129197	61.141
PAxJI_femF2	Mme_chr01	46972	14902957	61.141
PAxJI_femF2	Mme_chr01	46973	14885024	61.141
PAxJI_femF2	Mme_chr01	46974	14876745	61.141
PAxJI_femF2	Mme_chr01	46976	14872983	61.141
PAxJI_femF2	Mme_chr01	46977	14872911	61.141
PAxJI_femF2	Mme_chr01	46981	14802362	60.686
PAxJI_femF2	Mme_chr01	46982	14783550	60.686
PAxJI_femF2	Mme_chr01	46983	14776894	60.686
PAxJI_femF2	Mme_chr01	46984	14773873	60.686
PAxJI_femF2	Mme_chr01	46986	14765827	60.686
PAxJI_femF2	Mme_chr01	46988	14736264	60.686
PAxJI_femF2	Mme_chr01	46993	14653370	60.686
PAxJI_femF2	Mme_chr01	46995	14643806	60.686
PAxJI_femF2	Mme_chr01	47000	14526308	60.686
PAxJI_femF2	Mme_chr01	47004	14463325	60.686
PAxJI_femF2	Mme_chr01	47005	14462345	60.686
PAxJI_femF2	Mme_chr01	47008	14385090	60.686
PAxJI_femF2	Mme_chr01	47014	14324865	60.686
PAxJI_femF2	Mme_chr01	47015	14298706	60.686
PAxJI_femF2	Mme_chr01	47018	14224199	60.686
PAxJI_femF2	Mme_chr01	47020	14110651	60.686
PAxJI_femF2	Mme_chr01	47022	14091721	60.686
PAxJI_femF2	Mme_chr01	47028	13976105	60.686
PAxJI_femF2	Mme_chr01	47040	13765713	60.686
PAxJI_femF2	Mme_chr01	47033	13892777	59.773
PAxJI_femF2	Mme_chr01	41987	1382758	47.981
PAxJI_femF2	Mme_chr01	41081	7084358	43.733
PAxJI_femF2	Mme_chr01	41045	7320116	42.357
PAxJI_femF2	Mme_chr01	41046	7313265	42.357
PAxJI_femF2	Mme_chr01	41048	7305286	42.357
PAxJI_femF2	Mme_chr01	41053	7291740	41.903
PAxJI_femF2	Mme_chr01	41054	7288152	41.903
PAxJI_femF2	Mme_chr01	41065	7200473	41.448
PAxJI_femF2	Mme_chr01	41060	7228421	40.993
PAxJI_femF2	Mme_chr01	41068	7163200	40.993
PAxJI_femF2	Mme_chr01	41072	7133151	40.539
PAxJI_femF2	Mme_chr01	41079	7096053	40.539
PAxJI_femF2	Mme_chr01	41080	7090367	40.539
PAxJI_femF2	Mme_chr01	41083	7074096	40.539
PAxJI_femF2	Mme_chr01	41084	7066196	40.084
PAxJI_femF2	Mme_chr01	41087	7041301	40.084
PAxJI_femF2	Mme_chr01	41088	7040737	40.084
PAxJI_femF2	Mme_chr01	41089	7040715	40.084
PAxJI_femF2	Mme_chr01	41092	7036393	40.084
PAxJI_femF2	Mme_chr01	41076	7104014	39.63
PAxJI_femF2	Mme_chr01	41085	7049111	39.63
PAxJI_femF2	Mme_chr01	41100	7006107	38.717
PAxJI_femF2	Mme_chr01	41099	7006194	38.262
PAxJI_femF2	Mme_chr01	41107	6992945	38.262
PAxJI_femF2	Mme_chr01	41113	6936124	38.262
PAxJI_femF2	Mme_chr01	41117	6898397	37.807
PAxJI_femF2	Mme_chr01	41121	6862434	37.807
PAxJI_femF2	Mme_chr01	41137	6802187	37.353
PAxJI_femF2	Mme_chr01	41140	6783176	36.898
PAxJI_femF2	Mme_chr01	41131	6824204	36.444
PAxJI_femF2	Mme_chr01	41144	6756451	35.989
PAxJI_femF2	Mme_chr01	41145	6735873	35.535
PAxJI_femF2	Mme_chr01	41159	6673170	35.535
PAxJI_femF2	Mme_chr01	41153	6709973	35.08
PAxJI_femF2	Mme_chr01	41156	6693632	35.08
PAxJI_femF2	Mme_chr01	41157	6675073	35.08
PAxJI_femF2	Mme_chr01	41158	6674881	35.08
PAxJI_femF2	Mme_chr01	41160	6671143	35.08
PAxJI_femF2	Mme_chr01	41161	6671033	35.08
PAxJI_femF2	Mme_chr01	41162	6666806	35.08
PAxJI_femF2	Mme_chr01	41173	6596792	34.626
PAxJI_femF2	Mme_chr01	41170	6631398	34.171
PAxJI_femF2	Mme_chr01	41171	6626826	34.171
PAxJI_femF2	Mme_chr01	41172	6616591	34.171
PAxJI_femF2	Mme_chr01	41168	6648270	33.716
PAxJI_femF2	Mme_chr01	41187	6460827	32.803
PAxJI_femF2	Mme_chr01	41191	6449976	32.803
PAxJI_femF2	Mme_chr01	41265	5890659	32.803
PAxJI_femF2	Mme_chr01	41198	6427052	31.89
PAxJI_femF2	Mme_chr01	41199	6411910	31.89
PAxJI_femF2	Mme_chr01	41204	6410964	31.89
PAxJI_femF2	Mme_chr01	41202	6411071	31.435
PAxJI_femF2	Mme_chr01	41222	6208746	31.435
PAxJI_femF2	Mme_chr01	41206	6320921	30.981
PAxJI_femF2	Mme_chr01	41215	6228619	30.981
PAxJI_femF2	Mme_chr01	41217	6225474	30.981
PAxJI_femF2	Mme_chr01	41218	6224847	30.981
PAxJI_femF2	Mme_chr01	41235	6143845	30.526
PAxJI_femF2	Mme_chr01	41224	6197889	30.072
PAxJI_femF2	Mme_chr01	41231	6176211	30.072
PAxJI_femF2	Mme_chr01	41236	6137996	30.072
PAxJI_femF2	Mme_chr01	41227	6182944	29.617
PAxJI_femF2	Mme_chr01	41244	6106893	29.163
PAxJI_femF2	Mme_chr01	41253	6053634	29.163
PAxJI_femF2	Mme_chr01	41254	6017058	27.786
PAxJI_femF2	Mme_chr01	41262	5911830	27.332
PAxJI_femF2	Mme_chr01	41333	5500826	26.419
PAxJI_femF2	Mme_chr01	41274	5775119	25.042
PAxJI_femF2	Mme_chr01	41278	5768538	25.042
PAxJI_femF2	Mme_chr01	41282	5740959	25.042
PAxJI_femF2	Mme_chr01	41287	5727426	25.042
PAxJI_femF2	Mme_chr01	41297	5691219	24.588
PAxJI_femF2	Mme_chr01	41291	5721540	24.133
PAxJI_femF2	Mme_chr01	41292	5720383	24.133
PAxJI_femF2	Mme_chr01	41296	5695213	24.133
PAxJI_femF2	Mme_chr01	41325	5519480	23.679
PAxJI_femF2	Mme_chr01	41304	5646609	23.224
PAxJI_femF2	Mme_chr01	41305	5641123	23.224
PAxJI_femF2	Mme_chr01	41306	5641047	23.224
PAxJI_femF2	Mme_chr01	41307	5636285	23.224
PAxJI_femF2	Mme_chr01	41309	5624118	23.224
PAxJI_femF2	Mme_chr01	41312	5609352	23.224
PAxJI_femF2	Mme_chr01	41314	5601636	23.224
PAxJI_femF2	Mme_chr01	41316	5599355	23.224
PAxJI_femF2	Mme_chr01	41318	5594536	23.224
PAxJI_femF2	Mme_chr01	41324	5521281	23.224
PAxJI_femF2	Mme_chr01	41326	5519142	23.224
PAxJI_femF2	Mme_chr01	41327	5519049	23.224
PAxJI_femF2	Mme_chr01	41328	5516563	23.224
PAxJI_femF2	Mme_chr01	41329	5516291	23.224
PAxJI_femF2	Mme_chr01	41332	5514150	23.224
PAxJI_femF2	Mme_chr01	41336	5491916	23.224
PAxJI_femF2	Mme_chr01	41339	5455939	23.224
PAxJI_femF2	Mme_chr01	41345	5432229	23.224
PAxJI_femF2	Mme_chr01	41354	5255592	22.77
PAxJI_femF2	Mme_chr01	41356	5252132	22.77
PAxJI_femF2	Mme_chr01	41373	5087539	21.856
PAxJI_femF2	Mme_chr01	41380	5028494	21.402
PAxJI_femF2	Mme_chr01	41382	5020549	20.947
PAxJI_femF2	Mme_chr01	41399	4915176	20.947
PAxJI_femF2	Mme_chr01	41386	4987633	20.493
PAxJI_femF2	Mme_chr01	41391	4962820	20.493
PAxJI_femF2	Mme_chr01	41395	4926104	20.493
PAxJI_femF2	Mme_chr01	41396	4925957	20.493
PAxJI_femF2	Mme_chr01	41397	4916845	20.493
PAxJI_femF2	Mme_chr01	41401	4891480	20.493
