set map marker phys gen
F1 1 1 9.569999999999856e-4 0
F1 1 2 0.199249 1.376
F1 1 3 0.13393000000000002 1.376
F1 1 4 0.107485 1.376
F1 1 5 0.335853 2.29
F1 1 6 0.380076 2.744
F1 1 7 0.333831 2.744
F1 1 8 0.511184 4.567
F1 1 9 0.531867 4.567
F1 1 10 0.533403 4.567
F1 1 11 0.518058 5.021
F1 1 12 0.521049 5.021
F1 1 13 0.706679 7.298
F1 1 14 0.801352 9.129
F1 1 15 0.836747 10.042
F1 1 16 0.907628 11.41
F1 1 17 0.910835 11.41
F1 1 18 0.944004 11.864
F1 1 19 0.995693 12.319
F1 1 20 1.147483 19.733
F1 1 21 1.268693 22.022
F1 1 22 1.268696 22.477
F1 1 23 1.29562 22.477
F1 1 24 1.460037 23.853
F1 1 25 1.367993 24.308
F1 1 26 1.367996 24.308
F1 1 27 1.394982 24.308
F1 1 28 1.492597 24.308
F1 1 29 1.444721 24.762
F1 1 30 1.424334 25.217
F1 1 31 1.462051 25.217
F1 1 32 1.477765 25.671
F1 1 33 1.615241 26.584
F1 1 34 1.655874 27.498
F1 1 35 1.746048 29.813
F1 1 36 1.761195 29.813
F1 1 37 1.768961 29.813
F1 1 38 1.788735 29.813
F1 1 39 1.804449 29.813
F1 1 40 1.719153 30.268
F1 1 41 1.969126 33.968
F1 1 42 1.972792 33.968
F1 1 43 2.017807 35.344
F1 1 44 2.224208 41.092
F1 1 45 2.267598 41.092
F1 1 46 2.389723 43.369
F1 1 47 2.396317 43.369
F1 1 48 2.410361 43.824
F1 1 49 2.435859 44.737
F1 1 50 2.441381 45.192
F1 1 51 2.513147 45.192
F1 1 52 2.778091 47.035
F1 1 53 2.764673 47.49
F1 1 54 2.807172 47.49
F1 1 55 2.997031 48.403
F1 1 56 2.998919 48.403
F1 1 57 3.015589 48.403
F1 1 58 3.088245 48.857
F1 1 59 3.106092 48.857
F1 1 60 3.118201 48.857
F1 1 61 3.40855 48.857
F1 1 62 3.486787 48.857
F1 1 63 3.546964 48.857
F1 1 64 5.321983 48.857
F1 1 65 5.396414 48.857
F1 1 66 5.659122 48.857
F1 1 67 5.688349 48.857
F1 1 68 5.798 48.857
F1 1 69 6.092776 48.857
F1 1 70 11.288211 48.857
F1 1 71 3.06955 49.312
F1 1 72 3.135541 49.312
F1 1 73 3.409483 49.312
F1 1 74 3.573163 49.312
F1 1 75 3.76123 49.312
F1 1 76 5.526611 49.312
F1 1 77 11.070205 49.312
F1 1 78 11.241336 49.312
F1 1 79 11.298538 49.312
F1 1 80 11.303073 49.312
F1 1 81 11.379171 49.312
F1 1 82 11.522568 49.312
F1 1 83 11.677477 49.312
F1 1 84 11.928969 49.312
F1 1 85 6.214077 50.225
F1 1 86 10.975895 50.225
F1 1 87 11.015329 50.225
F1 1 88 6.374938 51.138
F1 1 89 10.877848 51.138
F1 1 90 6.387445 51.593
F1 1 91 6.408842 52.048
F1 1 92 6.462587 52.502
F1 1 93 10.809585 52.502
F1 1 94 6.521552 52.957
F1 1 95 6.56266 52.957
F1 1 96 7.007553 52.957
F1 1 97 7.016865 52.957
F1 1 98 7.019306 52.957
F1 1 99 10.186778 52.957
F1 1 100 10.241134 52.957
F1 1 101 10.4351 52.957
F1 1 102 10.716088 52.957
F1 1 103 10.746829 52.957
F1 1 104 7.108682 53.411
F1 1 105 10.234038 53.411
F1 1 106 7.132604 53.866
F1 1 107 10.056425 54.32
F1 1 108 10.061047 54.32
F1 1 109 7.345982 54.775
F1 1 110 9.885252 54.775
F1 1 111 7.373792 55.229
F1 1 112 9.875861 55.229
F1 1 113 9.875889 55.229
F1 1 114 7.401449 55.684
F1 1 115 7.432792 55.684
F1 1 116 7.491612 55.684
F1 1 117 7.496422 55.684
F1 1 118 7.51282 55.684
F1 1 119 9.812339 55.684
F1 1 120 7.514313 56.139
F1 1 121 9.601006 57.052
F1 1 122 7.767982 57.506
F1 1 123 7.804559 57.506
F1 1 124 9.519958 57.506
F1 1 125 9.537372 57.506
F1 1 126 7.89828 58.883
F1 1 127 7.961469 59.337
F1 1 128 7.966674 59.337
F1 1 129 7.969591 59.337
F1 1 130 7.990821 59.337
F1 1 131 9.254775 59.337
F1 1 132 9.272678 59.337
F1 1 133 8.03859 60.25
F1 1 134 8.056325 60.25
F1 1 135 8.198804 61.164
F1 1 136 8.97917 61.618
F1 1 137 8.280569 62.073
F1 1 138 8.324168 62.073
F1 1 139 8.325957 62.073
F1 1 140 8.953267 62.073
F1 1 141 8.406415 62.527
F1 1 142 8.885915 62.527
F1 1 143 8.48551 62.982
F1 1 144 8.663124 62.982
F1 1 145 8.642283 63.436
F1 1 146 12.660688 67.137
F1 1 147 12.685829 67.591
F1 1 148 12.745543 68.505
F1 1 149 12.773336 68.505
F1 1 150 12.774806 68.505
F1 1 151 12.839287 68.505
F1 1 152 12.84078 68.959
F1 1 153 12.867787 68.959
F1 1 154 12.883602 68.959
F1 1 155 12.899863 68.959
F1 1 156 12.933254 68.959
F1 1 157 12.928737 69.414
F1 1 158 12.967846 70.79
F1 1 159 12.967849 71.245
F1 1 160 13.111491 71.699
F1 1 161 13.111877 72.154
F1 1 162 13.133226 72.154
F1 1 163 13.178119 72.154
F1 1 164 13.1718 72.608
F1 1 165 13.20553 73.517
F1 1 166 13.298964 74.431
F1 1 167 13.299146 74.431
F1 1 168 13.302906 74.431
F1 1 169 13.325762 75.344
F1 1 170 13.342645 75.344
F1 1 171 13.35735 75.344
F1 1 172 13.500366 76.712
F1 1 173 13.541429 78.088
F1 1 174 13.546987 78.088
F1 1 175 13.749165 78.542
F1 1 176 13.749168 78.542
F1 1 177 13.68503 79.456
F1 1 178 13.776054 79.456
F1 1 179 13.79978 79.456
F1 1 180 13.830107 79.456
F1 1 181 13.862073 80.369
F1 1 182 13.862503 80.369
F1 1 183 13.873474 80.369
F1 1 184 13.956879 81.745
F1 1 185 14.062181 82.2
F1 1 186 14.205502 84.991
F1 1 187 14.282765 84.991
F1 1 188 14.24651 85.446
F1 1 189 14.253663 85.446
F1 1 190 14.278688 85.446
F1 1 191 14.364639 85.9
F1 1 192 14.410081 85.9
F1 1 193 14.332873 86.355
F1 1 194 14.374643 86.355
F1 1 195 14.452662 86.355
F1 1 196 14.454854 86.355
F1 1 197 14.457389 86.355
F1 1 198 14.457747 86.355
F1 1 199 14.482127 86.355
F1 1 200 14.72014 86.809
F1 1 201 14.728657 87.264
F1 1 202 14.886394 87.719
F1 1 203 15.082443 88.173
F1 1 204 15.087845 88.628
F1 1 205 15.10779 88.628
F1 1 206 15.11275 88.628
F1 1 207 15.132828 88.628
F1 1 208 15.243454 89.082
F1 1 209 15.24454 89.082
F1 1 210 15.334175 89.537
F1 1 211 15.266272 89.991
F1 1 212 15.34476 89.991
F1 1 213 15.387481 90.905
F1 1 214 15.39129 90.905
F1 1 215 15.452342 90.905
F1 1 216 15.550381 91.359
F1 1 217 15.573364 91.359
F1 1 218 15.582378 91.359
F1 1 219 15.613988 92.272
F1 1 220 15.690841 92.727
F1 1 221 15.632393 93.181
F1 1 222 15.720801 93.181
F1 1 223 15.759133 93.181
F1 1 224 15.857292 93.636
F1 1 225 15.863921 93.636
F1 1 226 15.908093 93.636
F1 1 227 15.910944 93.636
F1 1 228 15.965253 93.636
F1 1 229 15.965256 93.636
F1 1 230 15.97328 93.636
F1 1 231 15.984443 93.636
F1 1 232 15.991925 93.636
F1 1 233 16.00392 93.636
F1 1 234 16.028587 93.636
F1 1 235 16.080263 93.636
F1 1 236 16.040219 94.091
F1 1 237 16.057297 94.091
F1 1 238 16.076999 94.091
F1 1 239 16.131033 94.091
F1 1 240 16.224513 95.004
F1 1 241 16.231935 95.004
F1 1 242 16.297894 95.004
F1 1 243 16.471767 95.004
F1 1 244 16.342218 95.458
F1 1 245 16.357652 95.458
F1 1 246 16.363848 95.458
F1 1 247 16.473003 95.458
F1 1 248 16.503664 95.458
F1 1 249 16.511514 95.458
F1 1 250 16.519991 95.458
F1 1 251 16.539846 95.913
F1 1 252 16.61416 96.367
F1 1 253 16.639719 96.822
F1 1 254 16.657952 96.822
F1 1 255 16.678322 96.822
F1 1 256 16.684624 96.822
F1 1 257 16.63707 97.277
