LG	CHR	POS	MALE	FEMALE
1	29467	25	0	0
1	29467	13	0	0
1	121378	9	0	0.725
1	112786	23	0	0.725
1	110218	14	0	0.725
1	63674	12	0	0.725
1	63674	37	0	0.725
1	21635	34	0	0.725
1	13760	27	0	0.725
1	121278	26	0	1.449
1	120376	36	0	1.449
1	120376	50	0	1.449
1	95046	12	0	1.449
1	77199	27	0	1.449
1	77199	45	0	1.449
1	64378	74	0	1.449
1	59238	73	0	1.449
1	59238	72	0	1.449
1	41331	15	0	1.449
1	2122	44	0	1.449
1	2122	45	0	1.449
1	31666	50	0	2.174
1	117871	40	0	2.899
1	115870	11	0	2.899
1	100347	59	0	2.899
1	62585	42	0	2.899
1	101880	53	0	3.623
1	81987	10	0	3.623
1	3517	44	0	3.623
1	3517	70	0	3.623
1	81987	9	0	4.348
1	85024	61	0	5.798
1	71821	34	0	8.7
1	49529	29	0	10.149
1	49529	42	0	10.149
1	1437	11	0	10.149
1	122030	56	0	11.599
1	60243	58	0	11.599
1	22275	47	0	11.599
1	45098	43	0	13.049
1	22275	16	0	13.049
1	16841	11	0	16.678
1	23762	14	0	17.403
1	23762	20	0	17.403
1	52738	43	0	19.578
1	52738	59	0	19.578
1	2639	76	0	20.303
1	114267	9	0	21.028
1	114267	74	0	21.028
1	102072	34	0	23.203
1	14113	45	0	23.203
1	14113	66	0	23.203
1	14113	51	0	23.203
1	102072	22	0	23.928
1	102072	13	0	23.928
1	15784	53	0	29.018
1	15784	77	0	29.018
1	15784	32	0	29.018
1	32708	57	0	34.841
1	32708	46	0	34.841
1	32708	61	0	36.29
1	32708	63	0	36.29
1	32708	49	0	36.29
1	5032	38	0	44.33
1	108364	9	0	45.055
1	76896	16	0	47.957
1	131	40	0	50.132
1	131	53	0	50.132
1	121091	21	0	52.307
1	117070	56	0	52.307
1	113478	66	0	52.307
1	113267	22	0	52.307
1	110005	24	0	52.307
1	107421	68	0	52.307
1	106746	24	0	52.307
1	106046	43	0	52.307
1	102441	34	0	52.307
1	102441	44	0	52.307
1	97577	74	0	52.307
1	93003	74	0	52.307
1	91397	48	0	52.307
1	90723	63	0	52.307
1	85217	56	0	52.307
1	85217	41	0	52.307
1	85217	36	0	52.307
1	84619	19	0	52.307
1	83291	39	0	52.307
1	82810	24	0	52.307
1	80828	62	0	52.307
1	76866	28	0	52.307
1	75755	42	0	52.307
1	75215	39	0	52.307
1	71899	27	0	52.307
1	71559	44	0	52.307
1	66987	43	0	52.307
1	59075	19	0	52.307
1	52511	61	0	52.307
1	51464	53	0	52.307
1	51464	11	0	52.307
1	50517	52	0	52.307
1	44187	18	0	52.307
1	42611	60	0	52.307
1	41488	23	0	52.307
1	39776	34	0	52.307
1	38652	17	0	52.307
1	36122	11	0	52.307
1	35502	48	0	52.307
1	35502	33	0	52.307
1	35502	14	0	52.307
1	31977	43	0	52.307
1	28940	43	0	52.307
1	28940	64	0	52.307
1	28940	61	0	52.307
1	28717	52	0	52.307
1	27334	57	0	52.307
1	27334	71	0	52.307
1	27131	21	0	52.307
1	25647	28	0	52.307
1	23727	8	0	52.307
1	23727	26	0	52.307
1	23727	9	0	52.307
1	23727	67	0	52.307
1	20718	49	0	52.307
1	20718	45	0	52.307
1	19143	55	0	52.307
1	14114	8	0	52.307
1	14114	31	0	52.307
1	14114	36	0	52.307
1	14114	51	0	52.307
1	6286	66	0	52.307
1	6286	15	0	52.307
1	6286	70	0	52.307
1	6286	33	0	52.307
1	6286	29	0	52.307
1	5356	58	0	52.307
1	5356	61	0	52.307
1	5356	28	0	52.307
1	5356	60	0	52.307
1	5356	27	0	52.307
1	5350	76	0	52.307
1	4401	77	0	52.307
1	3913	77	0	52.307
1	2646	9	0	52.307
1	2646	12	0	52.307
1	1991	47	0	52.307
1	1958	66	0	52.307
1	1958	38	0	52.307
1	181	63	0	52.307
1	110534	58	0	53.032
1	110534	73	0	53.032
1	108414	58	0	53.032
1	103918	24	0	53.032
1	77302	7	0	53.032
1	77302	58	0	53.032
1	73361	38	0	53.032
1	73361	54	0	53.032
1	45387	61	0	53.032
1	39774	39	0	53.032
1	34465	49	0	53.032
1	4401	13	0	53.032
1	107022	30	0	53.757
1	101979	43	0	54.481
1	88389	35	0	54.481
1	87624	6	0	54.481
1	87624	33	0	54.481
1	83900	44	0	54.481
1	73245	72	0	54.481
1	67216	65	0	54.481
1	67216	34	0	54.481
1	67216	54	0	54.481
1	61584	72	0	54.481
1	59343	7	0	54.481
1	59343	52	0	54.481
1	59343	64	0	54.481
1	57706	74	0	54.481
1	57706	71	0	54.481
1	31232	71	0	54.481
1	15452	62	0	54.481
1	2542	77	0	54.481
1	280	57	0	54.481
1	111859	50	0	55.206
1	110389	42	0	55.206
1	108869	60	0	55.206
1	104247	12	0	55.206
1	101240	8	0	55.206
1	95706	52	0	55.206
