chr,phys,medchr,pos
1,14881,3,6.808
1,150243,3,6.808
1,185890,3,9.728
1,188180,3,6.808
1,291054,3,8.268
1,311429,3,8.268
1,408312,3,8.268
1,409708,3,8.268
1,416746,3,8.268
1,445665,3,8.268
1,482953,3,8.268
1,507892,3,8.268
1,510700,3,8.268
1,536149,3,8.268
1,630351,3,8.268
1,647695,3,8.268
1,686082,3,8.268
1,743343,3,8.998
1,770810,3,8.998
1,855621,3,8.998
1,902506,3,8.998
1,942460,3,8.998
1,950215,3,8.998
1,986723,3,8.998
1,998110,3,8.998
1,1004400,3,8.998
1,1038487,3,8.998
1,1073150,3,8.998
1,1079132,3,8.998
1,1088225,3,8.998
1,1121528,3,8.998
1,1144475,3,6.808
1,1164163,3,8.998
1,1194761,3,8.998
1,1248724,3,8.998
1,1254761,3,8.998
1,1294245,3,8.998
1,1294958,3,8.998
1,1309152,3,8.998
1,1325488,3,8.998
1,1342643,3,8.998
1,1364675,3,8.998
1,1374239,3,8.998
1,1448810,3,8.998
1,1475001,3,8.998
1,1487443,3,8.998
1,1531465,3,8.998
1,1562871,3,7.538
1,1672159,3,8.998
1,1689394,3,8.998
1,1719205,3,8.998
1,1733711,3,8.998
1,1790993,3,8.998
1,1792491,3,8.998
1,1813456,3,8.998
1,1820503,3,8.998
1,1839177,3,8.998
1,1864867,3,8.998
1,1876054,3,8.998
1,1889746,3,8.998
1,1982589,3,8.998
1,2060728,3,8.998
1,2115211,3,8.998
1,2143071,3,8.998
1,2217189,3,8.998
1,2226171,3,8.998
1,2230307,3,8.998
1,2236693,3,8.998
1,2256815,3,9.728
1,2284486,3,8.998
1,2312749,3,8.998
1,2362891,3,8.998
1,2382195,3,8.998
1,2399626,3,8.998
1,2406526,3,8.998
1,2438446,3,8.998
1,2494921,3,8.998
1,2631511,3,8.998
1,2646466,3,9.728
1,2758062,3,8.998
1,2972471,3,8.998
1,2977715,3,8.998
1,3044178,3,8.998
1,3077319,3,8.998
1,3081658,3,8.998
1,3089557,3,8.998
1,3096022,3,8.998
1,3132156,3,8.998
1,3143259,3,8.998
1,3153900,3,8.998
1,3176525,3,8.998
1,3207400,3,8.998
1,3218049,3,8.998
1,3228463,3,8.998
1,3258042,3,8.998
1,3294160,3,8.998
1,3327461,3,8.998
1,3366289,3,8.998
1,3381274,3,8.998
1,3417730,3,8.998
1,3502945,3,8.998
1,3502948,3,8.998
1,3526639,3,8.998
1,3530508,3,8.998
1,3531878,3,8.998
1,3631422,3,8.998
1,3670669,3,8.998
1,3861662,3,8.998
1,3874729,3,8.998
1,3877121,3,8.998
1,3877844,3,8.998
1,4055977,3,8.998
1,4270724,3,8.998
1,4321653,3,8.998
1,4353091,3,8.998
1,4509580,3,8.998
1,4888617,3,8.998
1,4979557,3,8.998
1,4979757,3,8.998
1,5100296,3,8.998
1,5362065,3,8.998
1,5412815,3,8.998
1,5513503,3,8.998
1,5518181,3,8.998
1,5596335,3,8.998
1,5653665,3,8.998
1,5798525,3,8.998
1,5889766,3,8.998
1,5906084,3,8.998
1,6009813,3,8.998
1,6022093,3,8.998
1,6067766,3,8.998
1,6165061,3,8.998
1,6206099,3,8.998
1,6349586,3,8.998
1,6370834,3,8.998
1,6438161,3,8.998
1,6473230,3,8.998
1,6474085,3,8.998
1,6546851,3,8.998
1,6577371,3,8.998
1,6624534,3,8.998
1,6632041,3,8.998
1,6649524,3,8.998
1,6704719,3,8.998
1,6711981,3,8.268
1,6734539,3,8.998
1,6753540,3,8.998
1,6892785,3,8.998
1,6958850,3,8.998
1,6978966,3,8.998
1,6985449,3,8.998
1,6992471,3,8.998
1,6997134,3,8.998
1,7062033,3,8.998
1,7073944,3,8.998
1,7085868,3,8.998
1,7086169,3,8.998
1,7096861,3,8.998
1,7098934,3,8.998
1,7110148,3,8.998
1,7161752,3,8.998
1,7184710,3,8.998
1,7196311,3,8.998
1,7220228,3,8.998
1,7224505,3,8.998
1,7236409,3,8.998
1,7242453,3,8.998
1,7242759,3,8.998
1,7299454,3,8.998
1,7391143,3,8.998
1,7392239,3,8.998
1,7427032,3,8.998
1,7440948,3,8.998
1,7454090,3,8.998
1,7537941,3,8.998
1,7600809,3,8.998
1,7600812,3,8.998
1,7632615,3,8.998
1,7633686,3,8.998
1,7634726,3,8.998
1,7641441,3,8.998
1,7655178,3,8.998
1,7758260,3,8.998
1,7799369,3,8.998
1,7824388,3,8.998
1,7829155,3,8.998
1,7854433,3,8.998
1,7874251,3,8.998
1,7882691,3,8.998
1,7896046,3,8.998
1,7905694,3,8.998
1,7922970,3,8.998
1,7947234,3,8.998
1,7962969,3,8.998
1,7965506,3,8.998
1,7996010,3,8.998
1,8010100,3,8.998
1,8015253,3,8.998
1,8020922,3,8.998
1,8031266,3,8.998
1,8056700,3,8.998
1,8205488,3,8.998
1,8209964,3,8.998
1,8297367,3,8.998
1,8357974,3,8.998
1,8362720,3,8.998
1,8560548,3,8.998
1,8597364,3,8.998
1,8599673,3,8.998
1,8622195,3,8.998
1,8627378,3,8.998
1,8737720,3,8.998
1,8742882,3,8.998
1,8743195,3,8.998
1,8802160,3,8.998
1,8802163,3,8.998
1,8858223,3,8.998
1,8864653,3,8.998
1,8895757,3,8.998
1,8922739,3,8.998
1,8942494,3,8.998
1,9023501,3,8.998
1,9027340,3,8.998
1,9032002,3,8.998
1,9095758,3,8.998
1,9127338,3,8.998
1,9170269,3,9.728
1,9266473,3,8.998
1,9327801,3,8.998
1,9374078,3,8.998
1,9431732,3,8.998
1,9441868,3,8.998
1,9447967,3,8.998
1,9496608,3,8.998
1,9496611,3,8.998
1,9500740,3,8.998
1,9501842,3,8.998
1,9596362,3,8.998
1,9596472,3,8.998
1,9639038,3,8.998
1,9680109,3,8.998
1,9952882,3,8.998
1,10077421,3,8.998
1,10077729,3,8.998
1,10095569,3,8.998
1,10106461,3,8.998
1,10177431,3,8.998
1,10184468,3,8.998
1,10322975,3,8.998
1,10337203,3,8.998
1,10353463,3,8.998
1,10355709,3,8.998
1,10395796,3,8.998
1,10434450,3,8.998
1,10547977,3,8.998
1,10550853,3,8.998
1,10558961,3,8.998
1,10750297,3,8.998
1,10756532,3,8.998
1,10839538,3,8.998
1,10861058,3,8.998
1,11040539,3,8.998
1,11047811,3,8.998
1,11070928,3,8.998
1,11077361,3,8.998
1,11157528,3,8.998
1,11302003,3,8.998
1,11351177,3,8.998
1,11369885,3,8.998
1,11369888,3,8.998
1,11378636,3,8.998
1,11435179,3,8.998
1,11494786,3,8.998
1,11495912,3,8.998
1,11551928,3,8.998
1,11567724,3,8.998
1,11587609,3,8.998
1,11614606,3,8.998
1,11616340,3,8.998
1,11616749,3,8.998
1,11637696,3,8.998
1,11704900,3,8.998
1,11735031,3,8.998
1,11935420,3,9.728
1,11981679,3,8.998
1,11984575,3,8.998
1,11987394,3,8.998
1,12031810,3,8.998
1,12045242,3,8.998
1,12047921,3,8.998
1,12072285,3,8.998
1,12169174,3,8.998
1,12227375,3,8.998
1,12290567,3,8.998
1,12419660,3,8.998
1,12504691,3,8.998
1,12567808,3,8.998
1,12613676,3,8.998
1,12630438,3,8.998
1,12665273,3,8.998
1,12709375,3,8.998
1,12838312,3,8.998
1,12987899,3,8.998
1,13041539,3,8.998
1,13070310,3,8.998
1,13093175,3,8.998
1,13096081,3,8.998
1,13116009,3,8.998
1,13136022,3,8.998
1,13141849,3,8.998
1,13165692,3,8.998
1,13169245,3,8.998
1,13257071,3,8.998
1,13285223,3,8.998
1,13286415,3,8.998
1,13290896,3,8.998
1,13312854,3,8.998
1,13314306,3,8.998
1,13319749,3,8.998
1,13346518,3,8.998
1,13384487,3,8.998
1,13397339,3,8.998
1,13425745,3,8.998
1,13456141,3,8.998
1,13465661,3,8.998
1,13512829,3,8.998
1,13559964,3,8.998
1,13564760,3,8.998
1,13629069,3,8.998
1,13657682,3,8.998
1,13907536,3,8.998
1,13970229,3,8.998
1,14015247,3,8.998
1,14089816,3,9.728
1,14104019,3,8.998
1,14132422,3,8.998
1,14150590,3,8.998
1,14252002,3,8.998
1,14375081,3,8.998
1,14375084,3,8.998
1,14388826,3,8.998
1,14391103,3,8.998
1,14424312,3,8.998
1,14434281,3,8.998
1,14467413,3,8.998
1,14480390,3,8.998
1,14493251,3,8.998
1,14502684,3,8.998
1,14524396,3,8.998
1,14532641,3,8.998
1,14534406,3,8.998
1,14581014,3,8.998
1,14654176,3,9.728
1,14861709,3,8.998
1,15028691,3,8.998
1,15034825,3,0
1,15066320,3,8.998
1,15066323,3,8.998
1,15077769,3,8.998
1,15194866,3,8.998
1,15204819,3,8.998
1,15217232,3,8.998
1,15260952,3,8.998
1,15275852,3,8.998
1,15276234,3,8.998
1,15354471,3,8.998
1,15378850,3,8.998
1,15421538,3,8.998
1,15445298,3,8.998
1,15464019,3,8.998
1,15509112,3,8.998
1,15536611,3,8.998
1,15627460,3,8.998
1,15753899,3,8.998
1,15785067,3,8.998
1,15826848,3,8.998
1,15827067,3,8.998
1,15832479,3,8.998
1,15877389,3,8.998
1,15898233,3,8.998
1,15929437,3,8.998
1,15978575,3,8.998
1,15994611,3,8.998
1,16018409,3,8.998
1,16026329,3,8.998
1,16047748,3,8.998
1,16051273,3,8.998
1,16073165,3,8.998
1,16095714,3,9.728
1,16108919,3,8.998
1,16216744,3,8.998
1,16247767,3,8.998
1,16254689,3,8.998
1,16256335,3,8.998
1,16281100,3,8.998
1,16290872,3,8.998
1,16335695,3,8.998
1,16398847,3,8.998
1,16400901,3,8.998
1,16432311,3,8.998
1,16451021,3,8.998
1,16496174,3,8.998
1,16504033,3,8.998
1,16513748,3,8.998
1,16541113,3,8.998
1,16564686,3,8.998
1,16712455,3,8.998
1,16769184,3,8.998
1,16912282,3,8.998
1,16928721,3,8.998
1,17034472,3,8.998
1,17089814,3,8.998
1,17090486,3,8.998
1,17097794,3,8.998
1,17105703,3,8.998
1,17124976,3,8.998
1,17217114,3,8.998
1,17283686,3,8.998
1,17365602,3,8.998
1,17390838,3,8.998
1,17400007,3,8.998
1,17400569,3,8.998
1,17405708,3,8.998
1,17414677,3,8.998
1,17422772,3,8.998
1,17468709,3,8.998
1,17510503,3,8.998
1,17511060,3,8.998
1,17518975,3,8.998
1,17534812,3,8.998
1,17542936,3,8.998
1,17585900,3,8.998
1,17628856,3,8.998
1,17809980,3,8.998
1,17839666,3,8.998
1,17908770,3,8.998
1,17915157,3,8.998
1,17915765,3,8.998
1,17947050,3,8.998
1,17966786,3,8.998
1,18025677,3,8.998
1,18124929,3,8.998
1,18156766,3,8.998
1,18212977,3,8.998
1,18236479,3,8.998
1,18255430,3,8.998
1,18334151,3,8.998
1,18417902,3,8.998
1,18432285,3,8.998
1,18474614,3,8.998
1,18519654,3,8.998
1,18660856,3,8.998
1,18664728,3,8.998
1,18698108,3,8.998
1,18700770,3,8.998
1,18727353,3,8.998
1,18745178,3,8.998
1,18754547,3,8.998
1,18770498,3,8.998
1,18912056,3,8.998
1,18918169,3,8.998
1,18961192,3,8.998
1,18963944,3,8.998
1,18979484,3,8.998
1,19024506,3,8.998
1,19088233,3,8.998
1,19100797,3,8.998
1,19108895,3,8.998
1,19112871,3,8.998
1,19126571,3,8.998
1,19147231,3,8.998
1,19410321,3,8.998
1,19410324,3,8.998
1,19535734,3,8.998
1,19544369,3,8.998
1,19549728,3,8.998
1,19554909,3,8.998
1,19562509,3,8.998
1,19578116,3,8.998
1,19622018,3,8.998
1,19622021,3,8.998
1,19669332,3,8.998
1,19717776,3,8.998
1,19776637,3,8.998
1,19842844,3,8.998
1,19854670,3,9.728
1,19925629,3,8.998
1,20026873,3,8.998
1,20038519,3,8.998
1,20248294,3,8.998
1,20257840,3,8.998
1,20264333,3,8.998
1,20271561,3,8.998
1,20276775,3,8.998
1,20307014,3,8.998
1,20307017,3,8.998
1,20323067,3,8.998
1,20393392,3,8.998
1,20492447,3,8.998
1,20593164,3,8.998
1,20593167,3,8.998
1,20680937,3,8.998
1,20691691,3,8.998
1,20701949,3,8.998
1,20765822,3,8.998
1,20827065,3,8.998
1,20940861,3,8.998
1,21009475,3,8.998
1,21032520,3,8.998
1,21152354,3,8.998
1,21259422,3,8.998
1,21290988,3,8.998
1,21318223,3,8.998
1,21319316,3,8.998
1,21321655,3,8.998
1,21380386,3,8.998
1,21382053,3,8.998
1,21458875,3,8.998
1,21462470,3,8.998
1,21494332,3,8.998
1,21585574,3,8.998
1,21637883,3,8.998
1,21653511,3,8.998
1,21661374,3,8.998
1,21677039,3,8.998
1,21691947,3,8.998
1,21700540,3,8.998
1,21705961,3,8.998
1,21751525,3,8.998
1,21799163,3,8.998
