set	map	mkr	phys	gen
JIGA_femF1	Mme_chr06	mkr1	2799	24.16
JIGA_femF1	Mme_chr06	mkr2	75603	0.73
JIGA_femF1	Mme_chr06	mkr3	86922	0.73
JIGA_femF1	Mme_chr06	mkr4	88507	0.73
JIGA_femF1	Mme_chr06	mkr5	110157	0.73
JIGA_femF1	Mme_chr06	mkr6	153514	0
JIGA_femF1	Mme_chr06	mkr7	166654	0.73
JIGA_femF1	Mme_chr06	mkr8	176835	0.73
JIGA_femF1	Mme_chr06	mkr9	187118	0.73
JIGA_femF1	Mme_chr06	mkr10	237621	0.73
JIGA_femF1	Mme_chr06	mkr11	254286	0.73
JIGA_femF1	Mme_chr06	mkr12	336226	3.66
JIGA_femF1	Mme_chr06	mkr13	346813	2.2
JIGA_femF1	Mme_chr06	mkr14	423594	2.2
JIGA_femF1	Mme_chr06	mkr15	460278	2.2
JIGA_femF1	Mme_chr06	mkr16	460507	2.2
JIGA_femF1	Mme_chr06	mkr17	508023	2.93
JIGA_femF1	Mme_chr06	mkr18	512270	2.93
JIGA_femF1	Mme_chr06	mkr19	531274	3.66
JIGA_femF1	Mme_chr06	mkr20	562447	5.13
JIGA_femF1	Mme_chr06	mkr21	606449	6.59
JIGA_femF1	Mme_chr06	mkr22	606515	5.86
JIGA_femF1	Mme_chr06	mkr23	630025	6.59
JIGA_femF1	Mme_chr06	mkr24	638402	6.59
JIGA_femF1	Mme_chr06	mkr25	656207	6.59
JIGA_femF1	Mme_chr06	mkr26	888605	10.35
JIGA_femF1	Mme_chr06	mkr27	900372	10.35
JIGA_femF1	Mme_chr06	mkr28	904685	10.35
JIGA_femF1	Mme_chr06	mkr29	956295	11.82
JIGA_femF1	Mme_chr06	mkr30	967179	11.82
JIGA_femF1	Mme_chr06	mkr31	1102126	17.17
JIGA_femF1	Mme_chr06	mkr32	1316867	31.99
JIGA_femF1	Mme_chr06	mkr33	1373022	31.99
JIGA_femF1	Mme_chr06	mkr34	1388918	33.46
JIGA_femF1	Mme_chr06	mkr35	1488239	37.22
JIGA_femF1	Mme_chr06	mkr36	1488541	37.95
JIGA_femF1	Mme_chr06	mkr37	1489210	37.22
JIGA_femF1	Mme_chr06	mkr38	1552954	44.11
JIGA_femF1	Mme_chr06	mkr39	1606164	47.03
JIGA_femF1	Mme_chr06	mkr40	1712486	47.76
JIGA_femF1	Mme_chr06	mkr41	1836068	47.03
JIGA_femF1	Mme_chr06	mkr42	1926082	47.76
JIGA_femF1	Mme_chr06	mkr43	1941947	47.76
JIGA_femF1	Mme_chr06	mkr44	2142776	47.76
JIGA_femF1	Mme_chr06	mkr45	2352012	47.03
JIGA_femF1	Mme_chr06	mkr46	2445823	46.3
JIGA_femF1	Mme_chr06	mkr47	2533504	47.76
JIGA_femF1	Mme_chr06	mkr48	2584889	47.03
JIGA_femF1	Mme_chr06	mkr49	2674728	47.76
JIGA_femF1	Mme_chr06	mkr50	2819332	47.76
JIGA_femF1	Mme_chr06	mkr51	2924342	47.76
JIGA_femF1	Mme_chr06	mkr52	2981504	47.76
JIGA_femF1	Mme_chr06	mkr53	3008657	47.03
JIGA_femF1	Mme_chr06	mkr54	3030990	47.76
JIGA_femF1	Mme_chr06	mkr55	3061409	47.03
JIGA_femF1	Mme_chr06	mkr56	3132535	47.76
JIGA_femF1	Mme_chr06	mkr57	3141745	47.76
JIGA_femF1	Mme_chr06	mkr58	3170760	47.03
JIGA_femF1	Mme_chr06	mkr59	3245183	47.76
JIGA_femF1	Mme_chr06	mkr60	3330347	47.03
JIGA_femF1	Mme_chr06	mkr61	3344051	47.76
JIGA_femF1	Mme_chr06	mkr62	3449968	47.76
JIGA_femF1	Mme_chr06	mkr63	3581306	47.76
JIGA_femF1	Mme_chr06	mkr64	3852144	47.03
JIGA_femF1	Mme_chr06	mkr65	3874680	47.76
JIGA_femF1	Mme_chr06	mkr66	3988287	47.03
JIGA_femF1	Mme_chr06	mkr67	4014917	47.76
JIGA_femF1	Mme_chr06	mkr68	4052765	47.76
JIGA_femF1	Mme_chr06	mkr69	4067963	47.76
JIGA_femF1	Mme_chr06	mkr70	4153760	47.76
JIGA_femF1	Mme_chr06	mkr71	4157811	47.76
JIGA_femF1	Mme_chr06	mkr72	4251447	47.76
JIGA_femF1	Mme_chr06	mkr73	4271556	47.03
JIGA_femF1	Mme_chr06	mkr74	4284012	47.03
JIGA_femF1	Mme_chr06	mkr75	4327964	47.76
JIGA_femF1	Mme_chr06	mkr76	4371047	47.76
JIGA_femF1	Mme_chr06	mkr77	4436533	47.76
JIGA_femF1	Mme_chr06	mkr78	4448374	47.03
JIGA_femF1	Mme_chr06	mkr79	4471527	47.03
JIGA_femF1	Mme_chr06	mkr80	4520136	47.76
JIGA_femF1	Mme_chr06	mkr81	4535748	47.76
JIGA_femF1	Mme_chr06	mkr82	4559744	47.03
JIGA_femF1	Mme_chr06	mkr83	4567949	47.76
JIGA_femF1	Mme_chr06	mkr84	4594994	49.22
JIGA_femF1	Mme_chr06	mkr85	4637713	47.76
JIGA_femF1	Mme_chr06	mkr86	4669858	47.03
JIGA_femF1	Mme_chr06	mkr87	4673841	47.76
JIGA_femF1	Mme_chr06	mkr88	4687365	47.76
JIGA_femF1	Mme_chr06	mkr89	4688204	47.76
JIGA_femF1	Mme_chr06	mkr90	4739724	47.76
JIGA_femF1	Mme_chr06	mkr91	4760918	47.76
JIGA_femF1	Mme_chr06	mkr92	4783795	47.76
JIGA_femF1	Mme_chr06	mkr93	4812993	47.03
JIGA_femF1	Mme_chr06	mkr94	4894159	47.76
JIGA_femF1	Mme_chr06	mkr95	4912312	47.76
JIGA_femF1	Mme_chr06	mkr96	4920651	47.76
JIGA_femF1	Mme_chr06	mkr97	4921684	47.76
JIGA_femF1	Mme_chr06	mkr98	4989013	47.76
JIGA_femF1	Mme_chr06	mkr99	5022762	44.84
JIGA_femF1	Mme_chr06	mkr100	5029896	47.76
JIGA_femF1	Mme_chr06	mkr101	5067090	47.76
JIGA_femF1	Mme_chr06	mkr102	5094236	47.76
JIGA_femF1	Mme_chr06	mkr103	5300592	47.03
JIGA_femF1	Mme_chr06	mkr104	5352264	47.76
JIGA_femF1	Mme_chr06	mkr105	5403933	47.76
JIGA_femF1	Mme_chr06	mkr106	5409762	47.76
JIGA_femF1	Mme_chr06	mkr107	5505180	47.03
JIGA_femF1	Mme_chr06	mkr108	5507668	47.76
JIGA_femF1	Mme_chr06	mkr109	5602029	47.03
JIGA_femF1	Mme_chr06	mkr110	5661024	47.76
JIGA_femF1	Mme_chr06	mkr111	5716468	47.76
JIGA_femF1	Mme_chr06	mkr112	5740758	47.76
JIGA_femF1	Mme_chr06	mkr113	5758439	47.76
JIGA_femF1	Mme_chr06	mkr114	5794591	47.76
JIGA_femF1	Mme_chr06	mkr115	5824505	47.76
JIGA_femF1	Mme_chr06	mkr116	5851061	47.76
JIGA_femF1	Mme_chr06	mkr117	5901988	47.76
JIGA_femF1	Mme_chr06	mkr118	5988755	47.76
JIGA_femF1	Mme_chr06	mkr119	5988847	47.03
JIGA_femF1	Mme_chr06	mkr120	6001967	47.76
JIGA_femF1	Mme_chr06	mkr121	6082740	47.76
