chr,phys,medchr,pos
1,8592,3,0
1,14881,3,0
1,236475,3,0
1,291054,3,1.363999999999999
1,311429,3,0.9089999999999989
1,398902,3,1.8179999999999996
1,445665,3,2.2729999999999997
1,482953,3,3.1820000000000004
1,486769,3,2.7279999999999998
1,497839,3,2.7279999999999998
1,505328,3,3.1820000000000004
1,630351,3,3.6370000000000005
1,660447,3,4.090999999999999
1,686082,3,3.6370000000000005
1,743191,3,3.6370000000000005
1,809478,3,4.545999999999999
1,828923,3,4.545999999999999
1,859679,3,4.545999999999999
1,863700,3,4.545999999999999
1,908746,3,4.545999999999999
1,918182,3,4.545999999999999
1,944657,3,4.545999999999999
1,986723,3,5
1,1004400,3,5.455
1,1006128,3,5.455
1,1101489,3,6.368
1,1164163,3,6.823
1,1182357,3,6.823
1,1290288,3,6.823
1,1294958,3,6.823
1,1296756,3,6.823
1,1309152,3,7.735999999999999
1,1323129,3,7.735999999999999
1,1389530,3,7.735999999999999
1,1394839,3,8.19
1,1475001,3,8.645000000000001
1,1531465,3,8.645000000000001
1,1531906,3,8.645000000000001
1,1616652,3,9.557999999999998
1,1719205,3,9.557999999999998
1,1771369,3,9.557999999999998
1,1792491,3,9.557999999999998
1,1820503,3,10.926
1,1864867,3,11.380999999999998
1,1889746,3,11.380999999999998
1,1898696,3,14.107999999999999
1,1938190,3,11.380999999999998
1,1953041,3,11.380999999999998
1,1953833,3,11.380999999999998
1,1983128,3,12.290000000000001
1,2017778,3,12.290000000000001
1,2023860,3,12.290000000000001
1,2044045,3,12.290000000000001
1,2066209,3,12.743999999999998
1,2084768,3,12.743999999999998
1,2107639,3,12.743999999999998
1,2161234,3,13.199
1,2194582,3,13.199
1,2199446,3,13.199
1,2226171,3,13.199
1,2248567,3,13.199
1,2261570,3,13.199
1,2407345,3,13.653
1,2420048,3,13.653
1,2434313,3,13.653
1,2494921,3,13.653
1,2520704,3,14.107999999999999
1,2520923,3,14.562
1,2591254,3,14.562
1,2612000,3,14.562
1,2631511,3,15.017000000000001
1,2635101,3,15.017000000000001
