LG	ogchr	ogphys	lgchr	pos
LG02	1	14881	1	177.03
LG02	1	14881	1	177.03
LG02	1	14881	1	177.03
LG02	1	109371	1	177.03
LG02	1	185890	1	177.03
LG02	1	216052	1	177.03
LG02	1	291054	1	176.3
LG02	1	291054	1	176.3
LG02	1	291054	1	176.3
LG02	1	311429	1	176.3
LG02	1	398902	1	174.11
LG02	1	445665	1	174.11
LG02	1	445665	1	174.11
LG02	1	486769	1	171.909
LG02	1	497839	1	172.639
LG02	1	504622	1	171.179
LG02	1	630351	1	168.957
LG02	1	630351	1	168.957
LG02	1	660447	1	168.957
LG02	1	744803	1	165.971
LG02	1	768509	1	164.5
LG02	1	768509	1	164.5
LG02	1	809478	1	163.77
LG02	1	828923	1	163.04
LG02	1	859679	1	163.04
LG02	1	859679	1	163.04
LG02	1	863700	1	163.04
LG02	1	863700	1	163.04
LG02	1	874774	1	163.04
LG02	1	878756	1	163.04
LG02	1	891203	1	163.04
LG02	1	903220	1	163.04
LG02	1	904883	1	163.04
LG02	1	908746	1	163.04
LG02	1	918182	1	163.04
LG02	1	918182	1	163.04
LG02	1	950215	1	163.04
LG02	1	1025606	1	157.056
LG02	1	1082551	1	154.834
LG02	1	1101489	1	154.104
LG02	1	1164163	1	154.104
LG02	1	1180355	1	154.104
LG02	1	1294245	1	153.374
LG02	1	1294245	1	153.374
LG02	1	1294958	1	153.374
LG02	1	1298607	1	153.374
LG02	1	1298607	1	153.374
LG02	1	1309152	1	152.644
LG02	1	1309152	1	152.644
LG02	1	1316372	1	152.644
LG02	1	1317782	1	152.644
LG02	1	1317782	1	152.644
LG02	1	1323129	1	152.644
LG02	1	1341568	1	151.914
LG02	1	1374239	1	151.914
LG02	1	1389767	1	151.914
LG02	1	1394839	1	151.914
LG02	1	1394839	1	151.914
LG02	1	1475001	1	151.184
LG02	1	1531465	1	149.713
LG02	1	1531465	1	149.713
LG02	1	1616652	1	147.491
LG02	1	1689172	1	144.505
LG02	1	1689172	1	144.505
LG02	1	1689172	1	144.505
LG02	1	1719205	1	143.775
LG02	1	1771369	1	141.574
LG02	1	1820503	1	139.374
LG02	1	1898696	1	132.053
LG02	1	1953041	1	134.972
LG02	1	1953833	1	134.972
LG02	1	1953833	1	134.972
LG02	1	2009091	1	134.972
LG02	1	2009091	1	134.972
LG02	1	2017778	1	134.242
LG02	1	2023863	1	134.242
LG02	1	2107639	1	133.512
LG02	1	2107639	1	133.512
LG02	1	2107639	1	133.512
LG02	1	2133411	1	133.512
LG02	1	2133411	1	133.512
LG02	1	2140938	1	132.782
LG02	1	2142539	1	132.782
LG02	1	2142539	1	133.512
LG02	1	2143071	1	133.512
LG02	1	2194582	1	133.512
LG02	1	2194582	1	133.512
LG02	1	2248567	1	133.512
LG02	1	2407345	1	133.512
LG02	1	2407345	1	133.512
LG02	1	2493935	1	132.782
LG02	1	2494921	1	132.782
LG02	1	2520704	1	132.782
LG02	1	2540163	1	132.782
LG02	1	2612000	1	132.053
LG02	1	2646466	1	132.053
LG02	1	2654221	1	132.053
LG02	1	2654221	1	132.053
LG02	1	2734555	1	129.067
LG02	1	2880156	1	129.067
LG02	1	2927315	1	128.337
LG02	1	3096022	1	127.607
LG02	1	3153900	1	127.607
LG02	1	3153900	1	127.607
LG02	1	3153900	1	127.607
LG02	1	3183437	1	127.607
LG02	1	3201927	1	126.877
LG02	1	3228466	1	127.607
LG02	1	3377800	1	127.607
LG02	1	3387452	1	127.607
LG02	1	3393507	1	127.607
LG02	1	3505709	1	127.607
LG02	1	3506278	1	127.607
LG02	1	3526639	1	126.877
LG02	1	3619533	1	127.607
LG02	1	3670336	1	127.607
LG02	1	3683091	1	127.607
LG02	1	3709800	1	126.147
LG02	1	3902007	1	126.877
LG02	1	4272616	1	126.877
LG02	1	4353091	1	125.417
LG02	1	4583393	1	126.877
LG02	1	4639900	1	126.877
LG12	1	4743141	12	155.928
LG12	1	4743141	12	155.928
LG02	1	5100296	1	126.877
LG02	1	5278590	1	126.877
LG02	1	5278590	1	126.877
LG02	1	5362065	1	126.877
LG02	1	5422291	1	126.877
LG02	1	5511665	1	126.877
LG02	1	5581747	1	126.877
LG02	1	5779814	1	126.147
LG02	1	5837363	1	126.147
LG02	1	5837363	1	126.147
LG02	1	5837363	1	126.147
LG02	1	5889766	1	125.417
LG02	1	6087222	1	125.417
LG02	1	6087222	1	125.417
LG02	1	6245209	1	123.946
LG02	1	6513427	1	121.756
LG02	1	6577371	1	123.216
LG02	1	6589047	1	121.026
LG02	1	6596653	1	120.296
LG02	1	6611155	1	120.296
LG02	1	6624534	1	121.026
LG02	1	6757713	1	121.026
LG02	1	6825895	1	120.296
LG02	1	6825895	1	120.296
LG02	1	6956964	1	120.296
LG02	1	6978966	1	118.826
LG02	1	6997134	1	118.826
LG02	1	6997393	1	118.826
LG02	1	6997393	1	118.826
LG02	1	7034978	1	118.096
LG02	1	7082861	1	118.096
LG02	1	7082861	1	118.096
LG02	1	7082861	1	118.096
LG02	1	7096861	1	118.096
LG02	1	7098934	1	118.096
LG02	1	7104464	1	118.096
LG02	1	7204179	1	118.096
LG02	1	7224505	1	117.366
LG02	1	7242453	1	117.366
LG02	1	7242759	1	117.366
LG02	1	7281109	1	117.366
LG02	1	7290962	1	117.366
LG02	1	7290962	1	117.366
LG02	1	7290962	1	117.366
LG02	1	7304533	1	117.366
LG02	1	7412706	1	116.636
LG02	1	7420720	1	116.636
LG02	1	7420720	1	116.636
LG02	1	7420720	1	116.636
LG02	1	7420720	1	116.636
LG02	1	7427032	1	116.636
LG02	1	7433845	1	116.636
LG02	1	7433845	1	116.636
LG02	1	7440948	1	115.906
LG02	1	7440948	1	115.906
LG02	1	7440948	1	116.636
LG02	1	7444511	1	116.636
LG02	1	7444511	1	116.636
LG02	1	7454090	1	116.636
LG02	1	7521446	1	116.636
LG02	1	7537941	1	115.906
LG02	1	7537941	1	115.906
LG02	1	7600812	1	116.636
LG02	1	7600812	1	116.636
LG02	1	7625336	1	116.636
LG02	1	7666615	1	116.636
LG02	1	7693494	1	116.636
LG02	1	7699929	1	116.636
