set	map	mkr	phys	gen
PANY_femF1_rev	Mme_chr01	29295	27491	0
PANY_femF1_rev	Mme_chr01	29284	340689	5.35
PANY_femF1_rev	Mme_chr01	29276	516629	6.08
PANY_femF1_rev	Mme_chr01	29274	554038	8.3
PANY_femF1_rev	Mme_chr01	29272	573068	9.77
PANY_femF1_rev	Mme_chr01	29253	843021	18.46
PANY_femF1_rev	Mme_chr01	29238	1528734	29.88
PANY_femF1_rev	Mme_chr01	29231	1639901	29.88
PANY_femF1_rev	Mme_chr01	29229	1695810	29.15
PANY_femF1_rev	Mme_chr01	29216	1815547	29.88
PANY_femF1_rev	Mme_chr01	29200	1971364	34.29
PANY_femF1_rev	Mme_chr01	29195	1974315	34.29
PANY_femF1_rev	Mme_chr01	29189	2018650	35.02
PANY_femF1_rev	Mme_chr01	29178	2140022	35.02
PANY_femF1_rev	Mme_chr01	29172	2193294	32.83
PANY_femF1_rev	Mme_chr01	29170	2200848	35.02
PANY_femF1_rev	Mme_chr01	29168	2227146	35.02
PANY_femF1_rev	Mme_chr01	29163	2259350	35.02
PANY_femF1_rev	Mme_chr01	29162	2289534	35.02
PANY_femF1_rev	Mme_chr01	29161	2290897	33.56
PANY_femF1_rev	Mme_chr01	29159	2312276	35.02
PANY_femF1_rev	Mme_chr01	29156	2391974	32.83
PANY_femF1_rev	Mme_chr01	29145	2614989	35.02
PANY_femF1_rev	Mme_chr01	29140	2667873	35.02
PANY_femF1_rev	Mme_chr01	29137	2674428	35.02
PANY_femF1_rev	Mme_chr01	29135	2694647	35.02
PANY_femF1_rev	Mme_chr01	29121	2770803	35.02
PANY_femF1_rev	Mme_chr01	29119	2794252	35.02
PANY_femF1_rev	Mme_chr01	29118	2795622	35.02
PANY_femF1_rev	Mme_chr01	29112	2834054	35.75
PANY_femF1_rev	Mme_chr01	29109	2861251	36.48
PANY_femF1_rev	Mme_chr01	29103	2889355	36.48
PANY_femF1_rev	Mme_chr01	29093	2945929	36.48
PANY_femF1_rev	Mme_chr01	29085	3005535	37.96
PANY_femF1_rev	Mme_chr01	29083	3013340	37.96
PANY_femF1_rev	Mme_chr01	29079	3028173	38.69
PANY_femF1_rev	Mme_chr01	29078	3028233	38.69
PANY_femF1_rev	Mme_chr01	29062	3121821	40.91
PANY_femF1_rev	Mme_chr01	29061	3126665	40.91
PANY_femF1_rev	Mme_chr01	29054	3196992	41.64
PANY_femF1_rev	Mme_chr01	29053	3197541	41.64
