lgchr	newstart	newfin	id	w	chr	oldstart	oldfin	ori
1	1	1009	1	W	41809	1	1009	+
1	1110	3113	3	W	19936	1	2004	+
1	3214	6295	5	W	11827	1	3082	+
1	6396	15881	7	W	1854	1	9486	+
1	15982	25761	9	W	1752	1	9780	+
1	25762	107134	10	W	129	1	81373	-
1	107235	110955	12	W	8728	1	3721	+
1	111056	125233	14	W	1177	1	14178	+
1	125334	137543	16	W	1370	1	12210	+
1	137644	140101	18	W	15548	1	2458	+
1	140202	141420	20	W	34290	1	1219	+
1	141521	164769	22	W	739	1	23249	+
1	164870	169327	24	W	6484	1	4458	+
1	169428	225731	26	W	229	1	56304	+
1	225832	227387	28	W	26371	1	1556	+
1	227488	230959	30	W	9746	1	3472	+
1	231060	244357	32	W	1265	1	13298	+
1	244458	279568	34	W	470	1	35111	+
1	279669	288874	36	W	1952	1	9206	+
1	288975	296352	38	W	2623	1	7378	+
1	296453	301603	40	W	5005	1	5151	+
1	301704	303151	42	W	28565	1	1448	+
1	303252	304470	44	W	34299	1	1219	+
1	304571	306730	46	W	18174	1	2160	+
1	306831	309729	48	W	12810	1	2899	-
1	309830	426380	50	W	70	1	116551	-
1	426381	469853	51	W	354	1	43473	-
1	469954	27148881	53	W	1	1	26678928	+
2	1	2355	1	W	16389	1	2355	+
2	2456	6395	3	W	8045	1	3940	+
2	6496	18175	5	W	1428	1	11680	+
2	18276	26212	7	W	2382	1	7937	+
2	26313	35510	9	W	1959	1	9198	+
2	35611	46820	11	W	1509	1	11210	+
2	46921	50002	13	W	11824	1	3082	+
2	50103	86179	15	W	453	1	36077	+
2	86280	88125	17	W	21828	1	1846	+
2	88226	90413	19	W	17846	1	2188	+
2	90514	93376	21	W	13010	1	2863	+
2	93477	94971	23	W	27623	1	1495	+
2	95072	96586	25	W	27156	1	1515	+
2	96687	100715	27	W	7727	1	4029	+
2	100816	120281	29	W	888	1	19466	+
2	120382	124307	31	W	8083	1	3926	+
2	124408	23192883	33	W	2	1	23068476	-
3	1	2470	1	W	15477	1	2470	+
3	2571	4869	3	W	16836	1	2299	+
3	4870	14488	4	W	1814	1	9619	+
3	14589	18073	6	W	9680	1	3485	+
3	18174	31336	8	W	1286	1	13163	+
3	31437	41734	10	W	1643	1	10298	+
3	41735	58704	11	W	994	1	16970	+
3	58805	65075	13	W	3532	1	6271	+
3	65176	67990	15	W	13278	1	2815	+
3	68091	81022	17	W	1302	1	12932	+
3	81123	82702	19	W	25980	1	1580	+
3	82803	98821	21	W	1045	1	16019	+
3	98822	104791	22	W	3896	1	5970	-
3	104892	108116	24	W	10964	1	3225	+
3	108217	120511	26	W	1354	1	12295	+
3	120612	128108	28	W	2562	1	7497	+
3	128209	163023	30	W	473	1	34815	+
3	163124	165031	32	W	21055	1	1908	+
3	165132	171418	34	W	3516	1	6287	+
3	171519	185614	36	W	1189	1	14096	+
3	185715	23242654	38	W	3	1	23056940	-
4	1	2591	1	W	14615	1	2591	+
4	2692	25418	3	W	752	1	22727	+
4	25519	30654	5	W	5033	1	5136	+
4	30755	214253	7	W	42	1	183499	+
4	214354	216339	9	W	20118	1	1986	+
4	216440	218600	11	W	18156	1	2161	+
4	218701	227201	13	W	2199	1	8501	+
4	227202	247397	14	W	847	1	20196	-
4	247498	312505	16	W	196	1	65008	+
4	312606	315900	18	W	10585	1	3295	+
4	316001	317566	20	W	26205	1	1566	+
4	317667	321974	22	W	6990	1	4308	+
4	322075	323778	24	W	23915	1	1704	+
4	323879	421171	26	W	86	1	97293	+
4	421272	426689	28	W	4635	1	5418	+
4	426790	463442	30	W	438	1	36653	+
4	463543	487299	32	W	726	1	23757	+
4	487400	488589	34	W	35198	1	1190	+
4	488690	542525	36	W	256	1	53836	+
4	542626	544755	38	W	18458	1	2130	+
4	544856	546014	40	W	36228	1	1159	+
4	546115	575738	42	W	574	1	29624	+
4	575839	580480	44	W	6046	1	4642	+
4	580581	587604	46	W	2870	1	7024	+
4	587705	589046	48	W	31038	1	1342	+
4	589147	592281	50	W	11462	1	3135	+
4	592382	594428	52	W	19421	1	2047	+
4	594529	598278	54	W	8634	1	3750	+
4	598379	694408	56	W	92	1	96030	-
4	694509	699570	58	W	5154	1	5062	-
4	699671	23239873	60	W	4	1	22540203	+
5	1	1703	1	W	23940	1	1703	+
5	1804	46529	3	W	339	1	44726	+
5	46630	54446	5	W	2429	1	7817	+
5	54547	56620	7	W	19106	1	2074	+
5	56721	57891	9	W	35833	1	1171	+
5	57992	60067	11	W	19060	1	2076	+
5	60168	61906	13	W	23418	1	1739	+
5	62007	64028	15	W	19736	1	2022	+
5	64129	65283	17	W	36379	1	1155	+
