CHR	maps	lgchr	LG.x	gpos	chr	pphys	LG.y	LG_start	LG_end	n_contig	contig_type	contig_id	contig_start	contig_end	orientation	anchored
63674	GA	7	1	194.90800000000002	7	118364	7	111990	128965	9	W	992	1	16976	+	1
63674	GA	7	1	194.90800000000002	7	118389	7	111990	128965	9	W	992	1	16976	+	1
121378	GA	7	1	194.90800000000002	7	888388	7	628791	891865	45	W	36	1	263075	+	1
21635	GA	7	1	194.90800000000002	7	889662	7	628791	891865	45	W	36	1	263075	+	1
77199	GA	7	1	194.90800000000002	7	1402532	7	1349652	1520269	55	W	45	1	170618	+	1
13760	GA	7	1	194.90800000000002	7	621538	7	617042	623856	41	W	3035	1	6815	+	1
77199	GA	7	1	194.178	7	1402550	7	1349652	1520269	55	W	45	1	170618	+	1
41331	GA	7	1	194.178	7	1397948	7	1349652	1520269	55	W	45	1	170618	+	1
95046	GA	7	1	194.178	7	1397080	7	1349652	1520269	55	W	45	1	170618	+	1
59238	GA	7	1	193.448	7	1465888	7	1349652	1520269	55	W	45	1	170618	+	1
120376	GA	7	1	193.448	7	1404857	7	1349652	1520269	55	W	45	1	170618	+	1
2122	GA	7	1	193.448	7	1427219	7	1349652	1520269	55	W	45	1	170618	+	1
121278	GA	7	1	193.448	7	1465838	7	1349652	1520269	55	W	45	1	170618	+	1
2122	GA	7	1	193.448	7	1427218	7	1349652	1520269	55	W	45	1	170618	+	1
120376	GA	7	1	193.448	7	1404871	7	1349652	1520269	55	W	45	1	170618	+	1
59238	GA	7	1	193.448	7	1465887	7	1349652	1520269	55	W	45	1	170618	+	1
31666	GA	7	1	192.71800000000002	7	20796144	7	1520370	21570164	57	W	9	1	20049795	+	1
100347	GA	7	1	191.988	7	20874885	7	1520370	21570164	57	W	9	1	20049795	+	1
115870	GA	7	1	191.988	7	20829814	7	1520370	21570164	57	W	9	1	20049795	+	1
117871	GA	7	1	191.988	7	20822314	7	1520370	21570164	57	W	9	1	20049795	+	1
62585	GA	7	1	191.988	7	20889233	7	1520370	21570164	57	W	9	1	20049795	+	1
81987	GA	7	1	191.258	7	20911862	7	1520370	21570164	57	W	9	1	20049795	+	1
81987	GA	7	1	191.258	7	20911863	7	1520370	21570164	57	W	9	1	20049795	+	1
101880	GA	7	1	190.528	7	892991	7	891966	895114	47	W	11377	1	3149	+	1
85024	GA	7	1	189.058	7	933529	7	895215	954874	49	W	209	1	59660	+	1
71821	GA	7	1	186.072	7	576071	7	476819	594926	31	W	68	1	118108	+	1
1437	GA	7	1	184.601	7	500999	7	476819	594926	31	W	68	1	118108	+	1
60243	GA	7	1	183.13	7	20725349	7	1520370	21570164	57	W	9	1	20049795	+	1
22275	GA	7	1	182.4	7	20760424	7	1520370	21570164	57	W	9	1	20049795	+	1
22275	GA	7	1	182.4	7	20760393	7	1520370	21570164	57	W	9	1	20049795	+	1
122030	GA	7	1	182.4	7	20689258	7	1520370	21570164	57	W	9	1	20049795	+	1
45098	GA	7	1	181.67000000000002	7	20681726	7	1520370	21570164	57	W	9	1	20049795	+	1
23762	GA	7	1	177.909	7	20641066	7	1520370	21570164	57	W	9	1	20049795	+	1
16841	GA	7	1	177.909	7	20651302	7	1520370	21570164	57	W	9	1	20049795	+	1
23762	GA	7	1	177.179	7	20641060	7	1520370	21570164	57	W	9	1	20049795	+	1
2639	GA	7	1	174.957	7	20556741	7	1520370	21570164	57	W	9	1	20049795	+	1
52738	GA	7	1	174.957	7	276682	7	186105	396493	19	W	39	1	210389	+	1
52738	GA	7	1	174.957	7	276698	7	186105	396493	19	W	39	1	210389	+	1
114267	GA	7	1	173.486	7	20492125	7	1520370	21570164	57	W	9	1	20049795	+	1
114267	GA	7	1	173.486	7	20492060	7	1520370	21570164	57	W	9	1	20049795	+	1
14113	GA	7	1	171.264	7	20388542	7	1520370	21570164	57	W	9	1	20049795	+	1
102072	GA	7	1	171.264	7	20397922	7	1520370	21570164	57	W	9	1	20049795	+	1
14113	GA	7	1	171.264	7	20388563	7	1520370	21570164	57	W	9	1	20049795	+	1
14113	GA	7	1	171.264	7	20388548	7	1520370	21570164	57	W	9	1	20049795	+	1
102072	GA	7	1	170.534	7	20397901	7	1520370	21570164	57	W	9	1	20049795	+	1
102072	GA	7	1	170.534	7	20397910	7	1520370	21570164	57	W	9	1	20049795	+	1
15784	GA	7	1	165.185	7	20173494	7	1520370	21570164	57	W	9	1	20049795	+	1
15784	GA	7	1	165.185	7	20173515	7	1520370	21570164	57	W	9	1	20049795	+	1
15784	GA	7	1	165.185	7	20173539	7	1520370	21570164	57	W	9	1	20049795	+	1
32708	GA	7	1	159.836	7	20026318	7	1520370	21570164	57	W	9	1	20049795	+	1
32708	GA	7	1	159.836	7	20026329	7	1520370	21570164	57	W	9	1	20049795	+	1
32708	GA	7	1	158.366	7	20026335	7	1520370	21570164	57	W	9	1	20049795	+	1
32708	GA	7	1	158.366	7	20026321	7	1520370	21570164	57	W	9	1	20049795	+	1
