set map heteroBoundLeft indexHBleft heteroBoundRight indexHBright swSize
F1 1 NA NA NA NA NA
F1 2 NA NA NA NA NA
F1 3 NA NA NA NA NA
F1 4 NA NA NA NA NA
F1 5 NA NA NA NA NA
F1 6 NA NA NA NA NA
F1 7 NA NA NA NA NA
F1 8 NA NA NA NA NA
F1 9 NA NA NA NA NA
F1 10 NA NA NA NA NA
F1 11 NA NA NA NA NA
F1 12 NA NA NA NA NA
F1 13 NA NA NA NA NA
F1 14 NA NA NA NA NA
F1 15 NA NA NA NA NA
F1 16 NA NA NA NA NA
F1 17 NA NA NA NA NA
F1 18 NA NA NA NA NA
F1 19 NA NA NA NA NA
F1 20 NA NA NA NA NA
F1 21 NA NA NA NA NA
F1 22 NA NA NA NA NA
F1 23 NA NA NA NA NA
F1 24 NA NA NA NA NA
GA 1 NA NA NA NA NA
GA 2 NA NA NA NA NA
GA 3 NA NA NA NA NA
GA 4 NA NA NA NA NA
GA 5 NA NA NA NA NA
GA 6 NA NA NA NA NA
GA 7 NA NA NA NA NA
GA 8 NA NA NA NA NA
GA 9 NA NA NA NA NA
GA 10 NA NA NA NA NA
GA 11 NA NA NA NA NA
GA 12 NA NA NA NA NA
GA 13 NA NA NA NA NA
GA 14 NA NA NA NA NA
GA 15 NA NA NA NA NA
GA 16 NA NA NA NA NA
GA 17 NA NA NA NA NA
GA 18 6.901468 151 9.600594 158 1.336047
GA 19 NA NA NA NA NA
GA 20 NA NA NA NA NA
GA 21 NA NA NA NA NA
GA 22 NA NA NA NA NA
GA 23 NA NA NA NA NA
GA 24 NA NA NA NA NA
NY 1 NA NA NA NA NA
NY 2 NA NA NA NA NA
NY 3 NA NA NA NA NA
NY 4 NA NA NA NA NA
NY 5 NA NA NA NA NA
NY 6 NA NA NA NA NA
NY 7 10.241961 331 11.94827 369 0.43225
NY 8 NA NA NA NA NA
NY 9 NA NA NA NA NA
NY 10 NA NA NA NA NA
NY 11 9.882868 304 11.194624 370 0.658619
NY 12 NA NA NA NA NA
NY 13 NA NA NA NA NA
NY 14 NA NA NA NA NA
NY 15 NA NA NA NA NA
NY 16 NA NA NA NA NA
NY 17 NA NA NA NA NA
NY 18 NA NA NA NA NA
NY 19 NA NA NA NA NA
NY 20 NA NA NA NA NA
NY 21 NA NA NA NA NA
NY 22 NA NA NA NA NA
NY 23 NA NA NA NA NA
NY 24 NA NA NA NA NA
